VARIABLE	YEAR	MONTH	DAY	NBR STA.	RMSE	MARIEVILLE	ST HYACINTHE 2	IBERVILLE	FARNHAM	SABREVOIS	STE MADELEINE	FLEURY	ST GUILLAUME	STE MARTINE	GRANBY	ST NAZAIRE	DRUMMONDVILLE	PHILIPSBURG	ST BERNARD DE LACOLLE	RICHMOND
Max Temp (deg C)	2008	2	8	4	0.9	-2.0	-1.5	-2.5	-2.0	-1.0										
Max Temp (deg C)	2008	2	9	4	0.9	0.0	-1.0	1.0	-0.5	0.0										
Max Temp (deg C)	2008	4	4	4	0.9	3.7	3.0	4.0	5.0	3.5										
Max Temp (deg C)	2008	4	5	4	0.9	6.9	4.0	8.0	8.0	8.5										
Max Temp (deg C)	2008	4	6	4	0.9	9.4	7.0	9.5	12.5	11.5										
Max Temp (deg C)	2008	4	7	4	0.9	13.5	12.0	14.0	15.0	14.0										
Max Temp (deg C)	2008	4	8	4	0.9	14.3	13.0	14.5	15.5	15.0										
Max Temp (deg C)	2008	4	9	4	0.9	17.7	18.0	17.0	19.5	17.0										
Max Temp (deg C)	2008	4	10	4	0.9	8.3	8.0	8.5	8.0	9.0										
Max Temp (deg C)	2008	6	14	4	0.9	27.5	28.0	27.0	28.0	27.0										
Max Temp (deg C)	2008	8	9	4	0.9	23.6	23.0	24.0	23.0	24.0										
Max Temp (deg C)	2008	9	29	4	0.9	17.0	17.0	17.0	15.5	19.0										
Max Temp (deg C)	2008	9	30	4	0.9	21.2	21.5	21.0	21.0	21.5										
Max Temp (deg C)	2009	2	2	4	0.9	-0.3	-2.0	1.0	-0.5	0.0										
Max Temp (deg C)	2009	2	3	4	0.9	-11.0	-12.0	-10.0	-12.0	-10.5										
Max Temp (deg C)	2009	2	4	4	0.9	-13.5	-14.0	-13.0	-15.0	-12.0										
Max Temp (deg C)	2009	2	5	4	0.9	-14.2	-16.0	-13.0	-15.5	-12.0										
Max Temp (deg C)	2009	5	30	4	0.9	18.2	17.0	18.5	19.5	18.5										
Max Temp (deg C)	2009	8	8	4	0.9	22.8	22.0	23.0	23.0	23.5										
Max Temp (deg C)	2009	12	4	4	0.89	6.4	6.0	6.5		7.0	6.0									
Max Temp (deg C)	2009	12	5	4	0.89	2.0	2.0	2.0		2.0	2.5									
Max Temp (deg C)	2009	12	6	4	0.9	2.1	2.0	2.0	1.5	3.5										
Max Temp (deg C)	2009	12	7	4	0.9	-1.0	-1.0	-1.0	-1.0	-0.5										
Max Temp (deg C)	2009	12	8	4	0.93	-1.4	-1.0		-2.5	-1.0	-1.0									
Max Temp (deg C)	2009	12	9	4	0.9	2.4	2.0	2.5	3.0	2.5										
Max Temp (deg C)	2009	12	10	4	0.9	1.4	1.0	2.0	1.0	1.5										
Max Temp (deg C)	2009	12	11	4	0.9	-5.0	-5.5	-4.5	-6.0	-4.0										
Max Temp (deg C)	2010	1	8	4	0.9	-6.6	-6.0	-6.5	-7.0	-7.0										
Max Temp (deg C)	2010	1	9	4	0.9	-11.9	-11.0	-12.0	-12.0	-12.5										
Max Temp (deg C)	2010	1	10	4	0.9	-5.0	-5.0	-4.5	-6.0	-5.0										
Max Temp (deg C)	2010	4	30	4	0.9	19.6	21.0	19.0	18.5	19.5										
Max Temp (deg C)	2010	5	1	4	0.87	21.0	21.0	21.0	22.0		20.0									
Max Temp (deg C)	2010	8	14	4	0.9	27.6	28.0	27.5	27.4	27.0										
Max Temp (deg C)	2010	9	4	4	0.9	23.9	24.5	23.5	24.0	24.0										
Max Temp (deg C)	2010	9	9	4	0.93	16.5	16.5		17.0	16.5	16.0									
Max Temp (deg C)	2010	9	25	4	0.96	19.7	20.0		19.0		20.0					20.0				
Max Temp (deg C)	2010	11	15	4	0.9	10.5	10.0	11.5	9.5	10.0										
Max Temp (deg C)	2010	11	18	4	0.94	5.4			5.3	5.5	5.5	5.0								
Max Temp (deg C)	2010	11	20	4	0.89	6.2		7.5	5.0	6.5	5.0									
Max Temp (deg C)	2010	11	21	4	0.89	3.5		4.0	3.0	4.5	3.0									
Max Temp (deg C)	2010	11	22	4	0.89	10.4		11.0	11.0	10.5	8.5									
Max Temp (deg C)	2010	11	23	4	0.91	13.1		13.0	14.0	12.0		12.5								
Max Temp (deg C)	2010	11	24	4	0.89	1.2		1.5	0.8	0.5	2.0									
Max Temp (deg C)	2010	11	25	4	0.91	2.0		3.0	1.2			0.0				1.5				
Max Temp (deg C)	2010	11	26	4	0.98	4.0			4.6		3.5	2.5				4.0				
Max Temp (deg C)	2010	11	27	4	0.96	0.7			1.0	0.5	1.0					0.0				
Max Temp (deg C)	2010	11	29	4	0.89	6.4		7.0	6.0	5.5	6.5									
Max Temp (deg C)	2010	12	17	4	0.98	-5.0			-4.0		-5.0	-8.0				-6.0				
Max Temp (deg C)	2011	1	17	4	1.22	-8.7						-13.0	-7.5			-7.5	-7.0			
Max Temp (deg C)	2011	1	18	4	0.98	0.4			1.5		-0.5	-1.0				-1.0				
Max Temp (deg C)	2011	1	19	4	0.88	-6.5		-6.0	-7.0		-6.5					-7.0				
Max Temp (deg C)	2011	1	20	4	0.98	-8.7			-9.0		-8.0	-9.0				-10.0				
Max Temp (deg C)	2011	1	21	4	0.88	-8.4		-7.5	-9.5		-9.0	-8.0								
Max Temp (deg C)	2011	1	22	4	0.88	-12.8		-13.0	-12.0		-12.0	-14.0								
Max Temp (deg C)	2011	1	23	4	0.92	-18.4		-18.0			-17.5	-18.5				-21.0				
Max Temp (deg C)	2011	1	24	4	0.88	-16.7		-16.0	-16.5		-18.0					-17.0				
Max Temp (deg C)	2011	1	29	4	0.98	-6.3			-6.0		-7.0	-7.0				-6.0				
Max Temp (deg C)	2011	2	11	4	0.88	-5.2		-4.5	-5.6		-5.5	-6.5								
Max Temp (deg C)	2011	2	22	4	0.88	-5.6		-5.2	-5.6		-5.0					-8.5				
Max Temp (deg C)	2011	2	23	4	0.98	-2.6			-2.3		-1.5	-5.5				-5.0				
Max Temp (deg C)	2011	2	26	4	0.88	-8.5		-8.0	-9.0		-8.0					-10.5				
Max Temp (deg C)	2011	3	5	4	0.88	7.3		7.0	8.5		7.0	6.0								
Max Temp (deg C)	2011	3	6	4	0.89	-1.4		-1.5	0.0	-1.5	-2.0									
Max Temp (deg C)	2011	3	15	4	0.98	5.2			6.0		4.5	4.0				4.0				
Max Temp (deg C)	2011	4	25	4	0.96	16.4			16.7	16.0	16.5					16.5				
Max Temp (deg C)	2011	5	20	4	0.89	23.6		23.0	24.0	23.5	24.5									
Max Temp (deg C)	2011	5	21	4	0.98	22.7			22.5		23.0	22.0				22.0				
Max Temp (deg C)	2011	5	28	4	0.98	21.7			22.6		22.0	18.0				21.0				
Max Temp (deg C)	2011	6	12	4	0.96	18.3			19.4	19.0	17.5					15.5				
Max Temp (deg C)	2011	7	23	4	0.9	32.0	31.5	32.5	31.0	32.5										
Max Temp (deg C)	2011	7	27	4	0.9	24.5	23.5	25.0	24.2	25.5										
Max Temp (deg C)	2011	7	28	4	0.9	28.8	28.0	29.0	29.0	29.5										
Max Temp (deg C)	2011	8	19	4	0.87	28.4	28.5	28.0	28.6		29.0									
Max Temp (deg C)	2011	8	20	4	0.9	29.8	29.8	30.0	29.5	29.0										
Max Temp (deg C)	2011	8	21	4	0.9	22.2	21.8	22.5	22.0	22.0										
Max Temp (deg C)	2011	8	22	4	0.9	22.0	22.0	22.0	22.0	22.0										
Max Temp (deg C)	2011	8	23	4	0.87	22.9	22.5	23.0	23.0		23.0									
Max Temp (deg C)	2011	8	24	4	1.14	26.7					27.5	26.0	25.5			26.0				
Max Temp (deg C)	2011	8	25	4	0.9	24.3	23.7	24.5	25.0	24.0										
Max Temp (deg C)	2011	8	26	4	0.93	22.0	21.7		22.0	21.5	23.0									
Max Temp (deg C)	2011	8	27	4	0.96	25.9	26.0		25.0		27.0					25.0				
Max Temp (deg C)	2011	8	28	4	0.9	17.3	17.7	17.0			17.0					18.0				
Max Temp (deg C)	2011	8	29	4	0.93	22.5	22.7		22.0	22.5	23.0									
Max Temp (deg C)	2011	8	30	4	0.93	23.8	23.3		24.0	24.5	23.5									
Max Temp (deg C)	2011	8	31	4	0.93	22.7	22.0		23.0	23.0	23.0									
Max Temp (deg C)	2011	9	1	4	0.93	25.9	25.2		27.0	26.0	25.5									
Max Temp (deg C)	2011	9	2	4	0.96	27.5	27.2		28.0		27.5					27.0				
Max Temp (deg C)	2011	9	3	4	0.9	29.1	29.3	29.0	29.0	29.0										
Max Temp (deg C)	2011	9	4	4	0.89	28.1	27.6	29.0		27.0	27.0									
Max Temp (deg C)	2011	9	5	4	0.9	20.9	20.3	21.5	21.0	20.5										
Max Temp (deg C)	2011	9	6	4	0.9	19.9	19.5	20.0	19.9	20.5										
Max Temp (deg C)	2011	9	7	4	0.9	18.1	18.6	18.0	18.0	17.5										
Max Temp (deg C)	2011	9	8	4	0.9	22.8	22.2	23.0	23.0	23.0										
Max Temp (deg C)	2011	9	9	4	0.9	25.4	25.2	25.5	25.0	25.5										
Max Temp (deg C)	2011	10	6	4	0.9	12.1	11.5	12.5	12.0	12.5										
Max Temp (deg C)	2011	11	5	4	0.87	7.7	7.2	8.0	7.0		8.5									
Max Temp (deg C)	2011	11	23	4	0.93	-0.5	-0.5		0.0	-0.5	-1.0									
Max Temp (deg C)	2011	12	8	4	0.87	2.1	1.7	2.5	2.0		2.0									
Max Temp (deg C)	2011	12	9	4	0.9	3.0	2.5	3.5	3.0	3.0										
Max Temp (deg C)	2011	12	10	4	0.9	-0.6	-0.8	0.0	-1.0	-1.0										
Max Temp (deg C)	2011	12	11	4	0.96	1.0	1.0		1.0		1.0					0.0				
Max Temp (deg C)	2011	12	14	4	0.93	5.4	5.6		6.0	5.0	5.0									
Max Temp (deg C)	2012	1	7	4	0.93	0.9	0.7		1.5	1.0	0.5									
Max Temp (deg C)	2012	1	14	4	0.96	-15.5	-15.5		-14.5	-16.0						-17.0				
Max Temp (deg C)	2012	1	17	4	0.96	5.4	4.5		6.5		5.0					5.0				
Max Temp (deg C)	2012	1	28	4	0.93	2.8	3.1		3.5	2.0	2.5									
Max Temp (deg C)	2012	1	29	4	0.9	1.1	0.7	2.0	0.0	1.0										
Max Temp (deg C)	2012	1	30	4	0.87	-5.5	-5.8	-5.0	-5.8		-6.0									
Max Temp (deg C)	2012	1	31	4	1.06	-2.7	-3.2				-4.0	-4.5				-1.0				
Max Temp (deg C)	2012	2	1	4	1.07	-4.0	-4.2				-4.5	-5.0	-4.0							
Max Temp (deg C)	2012	2	2	4	0.89	-7.4	-8.2	-7.0		-6.5	-7.5									
Max Temp (deg C)	2012	2	3	4	0.93	-3.3	-3.6		-3.4	-2.5	-3.5									
Max Temp (deg C)	2012	2	4	4	0.96	-5.6	-7.1			-5.0	-3.0					-7.0				
Max Temp (deg C)	2012	2	7	4	0.96	-4.0	-4.2			-4.0	-3.5	-4.0								
Max Temp (deg C)	2012	2	17	4	0.87	3.8	3.5	4.0	4.2		3.5									
Max Temp (deg C)	2012	2	18	4	0.96	2.5	2.5		2.5		2.5					1.0				
Max Temp (deg C)	2012	2	19	4	0.93	-1.2	-1.1		-1.2	-1.5	-0.5									
Max Temp (deg C)	2012	2	20	4	0.93	-2.3	-2.5		-2.2	-2.0	-2.5									
Max Temp (deg C)	2012	3	3	4	0.93	6.8	6.2		7.0	8.0	6.0									
Max Temp (deg C)	2012	3	4	4	1.06	-1.9	-2.0				-2.0	-3.5				-3.0				
Max Temp (deg C)	2012	3	5	4	0.9	-8.9	-9.0	-8.5	-10.0	-8.0										
Max Temp (deg C)	2012	3	6	4	0.9	1.7	0.5	2.5	1.8	2.0										
Max Temp (deg C)	2012	4	11	4	0.96	10.6	10.6		10.2		11.0					11.0				
Max Temp (deg C)	2012	4	12	4	0.87	13.0	13.0	13.0	12.5		14.0									
Max Temp (deg C)	2012	4	26	4	1.06	12.9	12.5				13.5	12.0				12.5				
Max Temp (deg C)	2012	4	28	4	0.96	7.9	8.1		7.0		8.5					8.0				
Max Temp (deg C)	2012	5	8	4	0.93	14.9	14.8		14.8	15.0	15.0									
Max Temp (deg C)	2012	5	18	4	0.87	21.8	21.5	22.0	21.0		22.5									
Max Temp (deg C)	2012	5	19	4	0.96	26.9	27.0		26.5		27.5					26.5				
Max Temp (deg C)	2012	5	20	4	0.9	31.6	31.6	31.5	31.0	32.0										
Max Temp (deg C)	2012	5	21	4	0.89	30.0	29.8	30.0		29.5	31.0									
Max Temp (deg C)	2012	5	28	4	0.87	21.0	19.0	22.0	22.0		19.5									
Max Temp (deg C)	2012	6	6	4	0.9	21.0	20.7	21.0	20.8	22.0										
Max Temp (deg C)	2012	6	15	4	0.93	25.9	25.5		27.0	25.0	26.5									
Max Temp (deg C)	2012	7	1	4	0.96	26.5	26.5		27.0		26.0					25.0				
Max Temp (deg C)	2012	7	7	4	0.93	29.4	29.5		29.0	29.5	29.5									
Max Temp (deg C)	2012	7	8	4	0.96	25.1	25.0		25.0		25.5					25.0				
Max Temp (deg C)	2012	7	31	4	0.9	30.8	30.8	31.0	31.0	29.5										
Max Temp (deg C)	2012	8	1	4	0.87	29.0	28.6	29.0	29.0		29.5									
Max Temp (deg C)	2012	8	18	4	0.93	23.0	22.7		22.8	23.5	23.0									
Max Temp (deg C)	2012	8	19	4	0.93	24.4	24.2		24.2	24.0	25.5									
Max Temp (deg C)	2012	8	20	4	0.93	26.3	26.5		26.2	26.0	26.5									
Max Temp (deg C)	2012	8	21	4	0.93	24.8	24.7		25.0	25.0	24.5									
Max Temp (deg C)	2012	8	22	4	0.9	26.5	26.5	26.0	27.0	27.5										
Max Temp (deg C)	2012	8	23	4	0.9	28.5	26.2	30.0	28.0	29.5										
Max Temp (deg C)	2012	8	24	4	0.9	28.2	28.0	28.0	29.0	28.5										
Max Temp (deg C)	2012	8	25	4	0.93	31.6	31.6		31.5	31.5	32.0									
Max Temp (deg C)	2012	11	24	4	0.9	2.7	2.5	3.0	2.5	3.0										
Max Temp (deg C)	2012	11	30	4	1.05	-9.2	-10.0				-9.0		-9.0			-9.5				
Max Temp (deg C)	2012	12	3	4	0.93	5.7	6.3		5.0	6.0	5.5									
Max Temp (deg C)	2012	12	22	4	0.96	-1.9	-1.7		-2.5	-2.0						-1.5				
Max Temp (deg C)	2012	12	28	4	0.93	-4.5	-4.0		-4.5	-5.0	-4.5									
Max Temp (deg C)	2013	1	3	4	0.98	-6.9	-7.5			-6.0		-9.2					-8.0			
Max Temp (deg C)	2013	1	18	4	0.96	-4.3	-4.0			-4.0	-4.5					-6.5				
Max Temp (deg C)	2013	1	19	4	0.9	5.0	4.7	5.0	6.0	5.0										
Max Temp (deg C)	2013	1	20	4	0.96	5.0	5.5			4.0	5.0					6.0				
Max Temp (deg C)	2013	1	22	4	0.96	-15.1	-15.5		-15.0		-15.0					-16.5				
Max Temp (deg C)	2013	1	26	4	0.9	-11.1	-11.0	-11.0	-11.0	-11.5										
Max Temp (deg C)	2013	1	27	4	0.93	-10.5	-10.0		-10.8	-10.5	-10.5									
Max Temp (deg C)	2013	1	28	4	0.87	-5.4	-5.0	-6.0	-4.8		-5.0									
Max Temp (deg C)	2013	1	29	4	0.9	6.3	6.0	6.5	7.0	6.0										
Max Temp (deg C)	2013	2	9	4	0.96	-8.4	-8.0			-9.0	-7.5					-9.5				
Max Temp (deg C)	2013	2	10	4	0.96	-4.0	-7.2			-1.0	-4.5					-4.0				
Max Temp (deg C)	2013	2	11	4	0.96	3.0	3.0			3.0	2.5					3.0				
Max Temp (deg C)	2013	2	12	4	0.96	3.6	3.5			4.0	3.5					2.0				
Max Temp (deg C)	2013	2	13	4	0.93	1.1	1.0		0.8	1.5	1.0									
Max Temp (deg C)	2013	2	14	4	0.93	2.2	2.0		2.0	2.0	3.0									
Max Temp (deg C)	2013	2	15	4	0.96	3.9	4.2			4.0	3.0					3.0				
Max Temp (deg C)	2013	2	16	4	1.01	-4.6				-5.0	-4.0	-4.5	-5.0							
Max Temp (deg C)	2013	2	17	4	0.96	-8.3	-8.0			-9.0	-7.0					-9.0				
Max Temp (deg C)	2013	2	18	4	0.96	-6.7	-6.7			-7.0	-6.5					-7.0				
Max Temp (deg C)	2013	2	19	4	0.96	4.6	4.5			5.0	2.5					6.0				
Max Temp (deg C)	2013	2	23	4	0.99	1.5				2.0	1.0	0.5				1.0				
Max Temp (deg C)	2013	2	25	4	0.89	2.5	2.5	2.5		2.5	3.0									
Max Temp (deg C)	2013	2	28	4	0.96	4.0	3.7			4.0	5.0					3.0				
Max Temp (deg C)	2013	3	1	4	0.96	0.6	1.0			0.0	0.5					0.5				
Max Temp (deg C)	2013	3	2	4	0.89	-0.1	1.5	-1.0		-1.0	1.0									
Max Temp (deg C)	2013	3	3	4	0.96	-1.8	-1.5			-2.5	-1.0					-2.5				
Max Temp (deg C)	2013	3	4	4	0.89	-3.6	-3.0	-4.0		-4.0	-3.0									
Max Temp (deg C)	2013	3	9	4	0.96	5.5	4.8			5.0	8.5					4.5				
Max Temp (deg C)	2013	3	21	4	0.91	1.3		1.5		2.0	0.5					1.0				
Max Temp (deg C)	2013	3	22	4	0.89	0.8	1.0	1.0		0.0	1.0									
Max Temp (deg C)	2013	3	24	4	0.96	4.7	5.2			4.0	5.5					4.0				
Max Temp (deg C)	2013	3	26	4	0.89	7.4	7.8	7.0		7.0	8.5									
Max Temp (deg C)	2013	4	27	4	0.96	15.8	15.5			16.0	16.0					15.0				
Max Temp (deg C)	2013	4	28	4	0.96	21.9	21.7			22.0	22.5					21.0				
Max Temp (deg C)	2013	5	30	4	0.93	27.2	26.7		27.5	27.5	27.0									
Max Temp (deg C)	2013	5	31	4	0.93	31.7	31.5		31.0	32.0	32.5									
Max Temp (deg C)	2013	6	8	4	0.96	17.0			16.0	17.0		17.5	17.5							
Max Temp (deg C)	2013	6	19	4	0.93	21.4	21.0		20.9	22.0	22.0									
Max Temp (deg C)	2013	6	20	4	0.93	23.9	23.5		24.0	24.0	24.0									
Max Temp (deg C)	2013	7	1	4	0.93	23.4	23.5		23.2	23.0	24.0									
Max Temp (deg C)	2013	7	8	4	0.96	26.0	25.5		26.8		25.5					26.0				
Max Temp (deg C)	2013	7	15	4	0.96	32.3			31.5	32.0	33.5					32.0				
Max Temp (deg C)	2013	7	16	4	0.96	31.5			31.0	31.0	32.5					31.0				
Max Temp (deg C)	2013	8	7	4	0.9	27.8	28.3	28.0	27.0	27.0										
Max Temp (deg C)	2013	8	15	4	0.87	24.3	23.5	25.0	23.8		24.0									
Max Temp (deg C)	2013	8	16	4	0.96	23.2	22.2		24.5		23.0					22.5				
Max Temp (deg C)	2013	9	10	4	1.13	23.5						20.5			25.5	23.0	24.0			
Max Temp (deg C)	2013	10	13	4	0.93	20.7	20.1		21.5	20.5	21.0									
Max Temp (deg C)	2013	10	22	4	0.9	12.0	10.5	13.0	12.0	12.0										
Max Temp (deg C)	2013	10	26	4	0.89	6.3	6.5	6.0		7.0	6.0									
Max Temp (deg C)	2013	12	18	4	0.9	-5.5	-6.8	-5.0	-4.2	-5.0										
Max Temp (deg C)	2013	12	25	4	0.93	-9.9	-12.5		-6.5	-7.0	-14.5									
Min Temp (deg C)	2000	1	1	4	1.12	-12.7	-15.0	-13.5		-9.0	-13.5									
Min Temp (deg C)	2000	2	2	4	1.12	-16.1	-16.0	-16.0		-16.5	-16.0									
Min Temp (deg C)	2000	2	3	4	1.12	-24.1	-24.0	-24.5		-22.0	-26.5									
Min Temp (deg C)	2000	2	4	4	1.12	-26.7	-29.0	-26.5		-25.0	-26.5									
Min Temp (deg C)	2000	2	5	4	1.12	-24.9	-26.0	-25.0		-25.5	-22.5									
Min Temp (deg C)	2000	2	6	4	1.12	-18.6	-22.0	-16.5		-18.0	-19.5									
Min Temp (deg C)	2000	2	7	4	1.12	-13.0	-13.0	-11.5		-15.0	-13.0									
Min Temp (deg C)	2000	2	8	4	1.12	-25.4	-26.0	-25.0		-26.5	-23.5									
Min Temp (deg C)	2000	2	9	4	1.12	-10.8	-14.0	-10.0		-9.0	-11.0									
Min Temp (deg C)	2000	2	10	4	1.12	-18.8	-21.5	-17.5		-17.5	-20.0									
Min Temp (deg C)	2000	2	11	4	1.12	-12.0	-12.0	-12.0		-12.0	-12.0									
Min Temp (deg C)	2000	2	12	4	1.12	-22.7	-27.0	-21.5		-21.0	-22.5									
Min Temp (deg C)	2000	6	2	4	1.12	11.5	12.0	11.0		11.5	12.0									
Min Temp (deg C)	2000	6	3	4	1.12	8.4	8.0	9.5		8.0	7.0									
Min Temp (deg C)	2000	6	11	4	1.12	6.7	6.0	7.0		7.0	6.5									
Min Temp (deg C)	2000	6	12	4	1.12	6.1	5.0	6.5		6.5	6.0									
Min Temp (deg C)	2000	6	13	4	1.12	8.5	8.0	8.5		9.0	8.0									
Min Temp (deg C)	2000	6	14	4	1.12	12.8	13.0	12.5		12.5	13.5									
Min Temp (deg C)	2000	6	15	4	1.12	14.2	14.0	14.0		14.0	15.0									
Min Temp (deg C)	2000	6	16	4	1.12	18.9	19.0	19.0		18.5	19.0									
Min Temp (deg C)	2000	6	17	4	1.12	20.2	20.0	21.5		19.0	19.0									
Min Temp (deg C)	2000	6	21	4	1.12	16.7	16.5	16.5		16.0	18.0									
Min Temp (deg C)	2000	6	22	4	1.12	18.6	18.0	18.5		19.0	19.0									
Min Temp (deg C)	2000	6	23	4	1.12	16.0	16.0	16.0		16.0	16.0									
Min Temp (deg C)	2000	6	24	4	1.12	10.3	11.0	10.0		10.0	10.5									
Min Temp (deg C)	2000	6	25	4	1.12	19.7	19.0	20.0		20.0	19.0									
Min Temp (deg C)	2000	6	26	4	1.12	17.2	18.0	16.0		17.0	19.0									
Min Temp (deg C)	2000	6	27	4	1.12	20.8	21.0	20.5		21.0	20.5									
Min Temp (deg C)	2000	6	28	4	1.12	14.3	13.5	15.0		15.0	12.5									
Min Temp (deg C)	2000	6	29	4	1.12	13.9	15.0	14.0		14.0	12.0									
Min Temp (deg C)	2000	7	2	4	1.12	16.3	15.0	17.0		16.0	17.0									
Min Temp (deg C)	2000	7	3	4	1.12	18.1	17.0	19.0		18.5	17.0									
Min Temp (deg C)	2000	7	4	4	1.12	17.9	18.0	18.0		18.0	17.0									
Min Temp (deg C)	2000	7	5	4	1.12	13.1	13.0	13.5		13.0	12.5									
Min Temp (deg C)	2000	7	6	4	1.12	10.3	10.0	11.5		10.0	8.5									
Min Temp (deg C)	2000	7	7	4	1.12	10.7	8.5	14.0		10.0	7.5									
Min Temp (deg C)	2000	7	8	4	1.12	10.5	10.0	11.0		10.5	10.0									
Min Temp (deg C)	2000	7	9	4	1.12	13.1	13.0	13.0		14.0	12.0									
Min Temp (deg C)	2000	7	10	4	1.12	15.3	14.0	16.0		16.0	14.0									
Min Temp (deg C)	2000	7	11	4	1.12	12.3	11.0	12.5		14.0	11.0									
Min Temp (deg C)	2000	7	12	4	1.12	11.2	10.0	13.0		10.0	10.5									
Min Temp (deg C)	2000	7	13	4	1.12	14.2	13.0	15.5		14.0	13.0									
Min Temp (deg C)	2000	7	14	4	1.12	14.7	14.5	14.5		15.0	14.5									
Min Temp (deg C)	2000	7	15	4	1.12	16.5	16.0	16.0		17.5	16.5									
Min Temp (deg C)	2000	7	16	4	1.12	15.3	15.0	15.5		15.0	15.5									
Min Temp (deg C)	2000	7	17	4	1.12	16.1	15.5	16.0		16.5	16.0									
Min Temp (deg C)	2000	7	18	4	1.12	18.1	18.0	19.0		17.0	18.0									
Min Temp (deg C)	2000	7	19	4	1.12	12.4	12.0	13.5		11.5	12.0									
Min Temp (deg C)	2000	7	20	4	1.12	8.0	7.5	9.0		7.5	7.0									
Min Temp (deg C)	2000	7	21	4	1.12	13.5	13.0	12.5		13.5	16.0									
Min Temp (deg C)	2000	7	22	4	1.12	13.8	13.0	15.0		12.5	14.0									
Min Temp (deg C)	2000	7	23	4	1.12	13.3	12.0	13.5		14.0	13.0									
Min Temp (deg C)	2000	7	24	4	1.12	13.6	13.0	15.5		12.5	12.0									
Min Temp (deg C)	2000	7	25	4	1.12	12.3	13.0	12.0		12.0	12.5									
Min Temp (deg C)	2000	7	26	4	1.12	15.4	13.0	16.0		16.0	16.0									
Min Temp (deg C)	2000	7	27	4	1.12	16.4	16.0	17.0		16.0	16.0									
Min Temp (deg C)	2000	7	28	4	1.12	16.3	16.5	16.5		16.0	16.0									
Min Temp (deg C)	2000	7	29	4	1.12	16.3	16.0	16.5		16.5	15.5									
Min Temp (deg C)	2000	7	30	4	1.12	15.1	15.0	15.0		15.0	15.5									
Min Temp (deg C)	2000	7	31	4	1.12	16.6	16.0	16.5		17.0	17.0									
Min Temp (deg C)	2000	8	1	4	1.12	16.9	15.0	17.0		17.5	18.0									
Min Temp (deg C)	2000	8	2	4	1.12	18.8	17.5	19.0		18.5	20.0									
Min Temp (deg C)	2000	8	3	4	1.12	20.9	20.0	21.5		20.5	21.0									
Min Temp (deg C)	2000	8	4	4	1.12	13.1	12.0	13.0		15.5	11.0									
Min Temp (deg C)	2000	8	5	4	1.12	12.9	12.0	12.5		15.5	11.0									
Min Temp (deg C)	2000	8	6	4	1.12	11.8	12.0	12.5		11.0	11.0									
Min Temp (deg C)	2000	8	7	4	1.12	17.2	18.0	16.5		17.0	18.0									
Min Temp (deg C)	2000	8	8	4	1.12	17.0	17.0	16.5		17.5	17.0									
Min Temp (deg C)	2000	8	9	4	1.12	17.7	17.0	18.0		18.0	17.5									
Min Temp (deg C)	2000	8	10	4	1.16	16.9	16.0		17.0	17.5	15.5									
Min Temp (deg C)	2000	8	11	4	1.16	14.7	13.0		15.5	15.0	14.0									
Min Temp (deg C)	2000	8	12	4	1.12	14.9	13.0	15.0		15.0	17.0									
Min Temp (deg C)	2000	8	13	4	1.12	11.3	11.0	11.5		11.5	11.0									
Min Temp (deg C)	2000	8	14	4	1.12	13.9	13.5	14.0		14.0	14.0									
Min Temp (deg C)	2000	8	15	4	1.12	17.1	17.0	16.5		17.0	18.5									
Min Temp (deg C)	2000	8	16	4	1.12	17.9	18.0	17.5		17.0	20.0									
Min Temp (deg C)	2000	8	17	4	1.12	12.3	12.0	12.0		11.5	14.5									
Min Temp (deg C)	2000	8	18	4	1.12	9.2	9.0	8.5		9.0	11.0									
Min Temp (deg C)	2000	8	19	4	1.12	12.9	13.0	13.0		11.5	14.5									
Min Temp (deg C)	2000	8	20	4	1.12	10.9	11.0	11.0		10.5	11.0									
Min Temp (deg C)	2000	8	21	4	1.12	9.6	7.5	11.0		10.5	8.0									
Min Temp (deg C)	2000	8	22	4	1.12	11.7	10.5	13.5		11.0	10.0									
Min Temp (deg C)	2000	8	23	4	1.12	14.1	14.0	14.5		13.5	14.0									
Min Temp (deg C)	2000	8	24	4	1.12	13.7	12.5	14.5		14.0	13.0									
Min Temp (deg C)	2000	8	25	4	1.12	13.5	12.0	15.0		12.5	13.5									
Min Temp (deg C)	2000	8	26	4	1.12	13.8	15.0	13.5		12.5	15.0									
Min Temp (deg C)	2000	8	27	4	1.12	16.5	16.0	16.5		16.5	17.0									
Min Temp (deg C)	2000	8	28	4	1.12	7.1	6.5	7.5		7.5	6.0									
Min Temp (deg C)	2000	9	26	4	1.12	1.0	0.5	1.5		1.0	0.5									
Min Temp (deg C)	2000	11	17	4	1.12	0.4	0.0	0.5		0.0	1.0									
Min Temp (deg C)	2000	11	18	4	1.12	-2.2	-2.5	-1.5		-3.0	-2.0									
Min Temp (deg C)	2001	3	9	4	1.12	-2.8	-3.5	-3.0		-2.0	-3.0									
Min Temp (deg C)	2001	8	25	4	1.12	5.7	5.5	5.5		5.5	6.5									
Min Temp (deg C)	2004	9	25	4	1.12	14.0	14.0	14.5		12.5	15.0									
Min Temp (deg C)	2005	11	17	4	1.12	1.6	1.0	1.5		2.5	1.0									
