VARIABLE	YEAR	MONTH	DAY	NBR STA.	RMSE	MARIEVILLE	ST HYACINTHE 2	IBERVILLE	FARNHAM	SABREVOIS	STE MADELEINE	FLEURY	ST GUILLAUME	STE MARTINE	GRANBY	ST NAZAIRE	DRUMMONDVILLE	PHILIPSBURG	ST BERNARD DE LACOLLE	RICHMOND
Max Temp (deg C)	2000	7	5	4	0.9	20.9	21.0	20.5	21.0	22.0										
Max Temp (deg C)	2000	7	6	4	0.9	22.5	22.0	22.5	22.5	23.5										
Max Temp (deg C)	2000	7	7	4	0.9	20.0	20.5	19.5	20.5	20.0										
Max Temp (deg C)	2000	7	8	4	0.9	24.2	25.0	23.5	23.5	25.0										
Max Temp (deg C)	2000	7	9	4	0.9	19.2	19.0	19.0	19.5	20.0										
Max Temp (deg C)	2000	7	10	4	0.9	23.9	24.0	24.0	23.0	24.5										
Max Temp (deg C)	2000	7	11	4	0.9	23.0	22.0	23.5	22.5	24.0										
Max Temp (deg C)	2000	7	12	4	0.9	27.6	28.0	27.5	27.0	27.5										
Max Temp (deg C)	2000	7	13	4	0.9	27.4	27.0	27.5	27.5	28.0										
Max Temp (deg C)	2000	7	14	4	0.9	28.7	29.0	28.5	29.0	28.5										
Max Temp (deg C)	2000	7	15	4	0.9	26.0	25.5	26.5	26.0	25.0										
Max Temp (deg C)	2000	7	16	4	0.9	25.7	25.5	26.0	25.5	25.5										
Max Temp (deg C)	2000	7	17	4	0.9	25.2	25.0	25.5	25.0	24.5										
Max Temp (deg C)	2000	7	18	4	0.9	24.9	25.0	25.0	24.0	25.5										
Max Temp (deg C)	2000	7	19	4	0.9	20.3	20.0	20.5	20.0	20.5										
Max Temp (deg C)	2000	7	20	4	0.9	22.9	22.5	23.0	23.0	23.5										
Max Temp (deg C)	2000	7	21	4	0.9	22.3	22.5	22.0	22.5	22.5										
Max Temp (deg C)	2000	7	22	4	0.9	21.5	21.5	21.5	22.0	21.0										
Max Temp (deg C)	2000	7	23	4	0.9	24.7	24.5	24.5	25.0	25.0										
Max Temp (deg C)	2000	7	24	4	0.9	27.6	27.0	27.5	29.0	27.5										
Max Temp (deg C)	2000	7	25	4	0.9	29.6	29.0	29.5	31.0	29.5										
Max Temp (deg C)	2000	7	26	4	0.9	28.4	28.5	28.0	29.5	28.0										
Max Temp (deg C)	2000	7	27	4	0.9	24.4	24.0	24.0	25.0	26.0										
Max Temp (deg C)	2000	7	28	4	0.9	27.3	28.0	27.0	28.0	26.0										
Max Temp (deg C)	2000	7	29	4	0.9	27.8	28.0	27.5	28.5	27.5										
Max Temp (deg C)	2000	7	30	4	0.9	28.5	28.5	28.5	28.5	28.5										
Max Temp (deg C)	2000	7	31	4	0.9	25.9	26.0	26.0	25.5	26.0										
Max Temp (deg C)	2000	8	1	4	0.9	22.9	22.5	23.0	23.0	23.0										
Max Temp (deg C)	2000	8	2	4	0.9	27.9	27.5	27.5	29.5	28.0										
Max Temp (deg C)	2000	8	3	4	0.9	26.8	26.0	27.0	27.0	27.5										
Max Temp (deg C)	2000	8	4	4	0.9	23.1	22.0	23.5	23.0	24.0										
Max Temp (deg C)	2000	8	5	4	0.9	24.7	24.0	25.0	25.0	24.5										
Max Temp (deg C)	2000	8	6	4	0.9	25.0	25.5	24.5	26.0	24.5										
Max Temp (deg C)	2000	8	7	4	0.9	26.4	26.0	26.5	26.0	27.0										
Max Temp (deg C)	2000	8	8	4	0.9	25.8	26.0	25.5	25.5	26.5										
Max Temp (deg C)	2000	8	9	4	0.93	26.1	26.0		26.0	26.5	26.0									
Max Temp (deg C)	2000	8	10	4	0.93	26.0	27.0		25.5	24.5	27.5									
Max Temp (deg C)	2000	8	11	4	0.9	22.6	23.5	22.0	23.0	22.0										
Max Temp (deg C)	2000	8	12	4	0.9	26.2	26.0	26.0	27.0	26.0										
Max Temp (deg C)	2000	8	13	4	0.9	25.9	26.0	25.5	26.5	26.0										
Max Temp (deg C)	2000	8	14	4	0.9	26.5	27.0	26.0	27.0	26.0										
Max Temp (deg C)	2000	8	15	4	0.9	26.7	27.0	26.5	27.0	26.5										
Max Temp (deg C)	2000	8	16	4	0.9	24.4	25.0	24.0	24.0	24.5										
Max Temp (deg C)	2000	8	17	4	0.9	16.1	16.0	16.5	15.0	16.0										
Max Temp (deg C)	2000	8	18	4	0.9	21.6	21.0	22.0	21.5	21.5										
Max Temp (deg C)	2000	8	19	4	0.9	21.7	23.0	21.0	21.0	21.5										
Max Temp (deg C)	2000	8	20	4	0.9	18.9	19.5	19.0	18.5	18.0										
Max Temp (deg C)	2000	8	21	4	0.9	23.4	24.0	23.0	23.0	23.5										
Max Temp (deg C)	2000	8	22	4	0.9	23.5	24.0	23.5	23.0	23.0										
Max Temp (deg C)	2000	8	23	4	0.9	18.4	18.0	18.5	18.0	19.5										
Max Temp (deg C)	2000	8	24	4	0.9	23.4	24.0	23.0	22.5	24.0										
Max Temp (deg C)	2000	8	25	4	0.9	26.5	27.0	26.0	26.5	26.5										
Max Temp (deg C)	2000	8	26	4	0.9	26.2	27.0	25.5	26.0	26.5										
Max Temp (deg C)	2000	8	27	4	0.9	22.9	22.0	23.5	23.0	23.0										
Max Temp (deg C)	2000	8	28	4	0.9	21.8	22.0	21.5	22.0	22.0										
Max Temp (deg C)	2000	11	16	4	0.9	6.0	5.5	6.0	6.5	7.0										
Max Temp (deg C)	2000	11	17	4	0.9	6.6	7.0	6.5	6.0	7.0										
Max Temp (deg C)	2005	11	13	4	0.9	14.5	15.5	13.5	16.0	14.0										
Max Temp (deg C)	2005	11	17	4	0.9	4.4	3.5	4.0	4.0	8.5										
Max Temp (deg C)	2005	11	22	4	0.9	3.8	4.0	4.0	4.5	2.0										
Max Temp (deg C)	2005	12	1	4	0.9	4.2	4.5	4.0	3.5	5.5										
Max Temp (deg C)	2005	12	6	4	0.9	-1.4	-1.0	-1.5	-1.5	-1.5										
Max Temp (deg C)	2005	12	14	4	0.9	-13.0	-12.0	-13.5	-14.0	-12.0										
Max Temp (deg C)	2005	12	15	4	0.9	-3.7	-4.0	-3.5	-2.0	-5.0										
Max Temp (deg C)	2005	12	16	4	0.9	-1.1	-1.5	-1.0	-0.5	-1.0										
Max Temp (deg C)	2005	12	17	4	0.9	-0.3	-1.0	0.0	0.0	0.0										
Max Temp (deg C)	2005	12	18	4	0.9	-1.7	-2.5	-1.5	-1.5	-0.5										
