VARIABLE	YEAR	MONTH	DAY	NBR STA.	RMSE	ST HYACINTHE 2	FLEURY	STE MADELEINE	MARIEVILLE	ST GUILLAUME	ST NAZAIRE	IBERVILLE	FARNHAM	DRUMMONDVILLE	SABREVOIS	ST AMABLE	GRANBY	PIERREVILLE	DANVILLE	STE MARTINE	PHILIPSBURG	ST BERNARD DE LACOLLE	VERCHERES
Max Temp (deg C)	2010	11	17	4	0.9	11.3	10.5	11.0	12.0			11.5											
Max Temp (deg C)	2010	11	18	4	0.99	5.3	5.0	5.5		5.0				5.0									
Max Temp (deg C)	2010	11	19	4	0.9	3.4	3.0	4.0	3.5			3.5											
Max Temp (deg C)	2010	11	20	4	0.9	5.4	4.5	5.0			4.0	7.5											
Max Temp (deg C)	2010	11	21	4	0.9	2.2	0.5	3.0			1.0	4.0											
Max Temp (deg C)	2010	11	22	4	0.9	8.6	4.5	8.5			9.0	11.0											
Max Temp (deg C)	2010	11	23	4	0.94	12.8	12.5			12.0		13.0		13.0									
Max Temp (deg C)	2010	11	24	4	0.9	1.6	2.0	2.0			1.0	1.5											
Max Temp (deg C)	2010	11	25	4	0.93	1.7	0.0			1.0	1.5	3.0											
Max Temp (deg C)	2010	11	26	4	0.94	3.5	2.5	3.5		2.5	4.0												
Max Temp (deg C)	2010	11	27	4	0.94	0.8	1.0	1.0		0.5	0.0												
Max Temp (deg C)	2010	11	28	4	0.9	1.9	1.0	2.5	2.0			3.0											
Max Temp (deg C)	2010	11	29	4	0.9	6.0	5.0	6.5			5.0	7.0											
Max Temp (deg C)	2010	11	30	4	0.9	9.2	8.5	8.0	10.0			10.0											
Max Temp (deg C)	2010	12	1	4	0.9	12.8	12.0	12.5	13.5			13.0											
Max Temp (deg C)	2010	12	3	4	0.9	3.3	3.5	3.5	3.0			3.5											
Max Temp (deg C)	2010	12	4	4	0.9	-1.4	-1.0	-1.0	-2.0			-1.0											
Max Temp (deg C)	2010	12	5	4	0.9	-3.2	-3.0	-3.5	-3.0			-3.0											
Max Temp (deg C)	2010	12	6	4	0.87	-3.6	-3.0	-3.0	-4.0		-4.0												
Max Temp (deg C)	2010	12	7	4	0.9	-4.7	-4.5	-4.5	-5.0			-4.0											
Max Temp (deg C)	2010	12	8	4	0.87	-7.6	-7.0	-7.0	-8.0		-8.0												
Max Temp (deg C)	2010	12	9	4	0.87	-9.6	-9.0	-8.0	-10.0		-10.5												
Max Temp (deg C)	2010	12	10	4	0.9	-0.8	-2.0		0.0		-1.0	0.0											
Max Temp (deg C)	2010	12	11	4	0.9	0.6	0.0	1.0	1.0			1.0											
Max Temp (deg C)	2010	12	12	4	0.9	6.5	6.0	5.0	8.0			6.0											
Max Temp (deg C)	2010	12	13	4	0.9	3.0	3.5	2.5	3.0			3.0											
Max Temp (deg C)	2010	12	14	4	0.9	-9.1	-8.0	-8.5	-10.0			-8.5											
Max Temp (deg C)	2010	12	15	4	0.9	-11.0	-11.0	-11.0	-11.0			-10.0											
Max Temp (deg C)	2010	12	16	4	0.9	-8.2	-9.0	-8.0	-7.0			-8.5											
Max Temp (deg C)	2010	12	17	4	0.94	-5.9	-8.0	-5.0		-5.5	-6.0												
Max Temp (deg C)	2010	12	18	4	0.9	-1.8	-4.5	-1.0	0.0			-1.0											
Max Temp (deg C)	2010	12	19	4	0.9	-4.4	-3.5	-3.5	-5.0			-5.0											
Max Temp (deg C)	2010	12	20	4	0.9	-3.8	-3.0	-4.0	-4.0			-4.0											
Max Temp (deg C)	2010	12	21	4	0.9	-1.8	-1.0	-1.5	-2.0			-2.5											
Max Temp (deg C)	2010	12	22	4	0.9	-0.8	-0.5	0.0	-1.0			-1.0											
Max Temp (deg C)	2010	12	23	4	0.9	-1.0	-1.0	-0.5	-1.0			-1.0											
Max Temp (deg C)	2010	12	24	4	0.87	-6.7	-8.0	-5.0	-6.5		-7.0												
Max Temp (deg C)	2010	12	25	4	0.87	-7.3	-7.0	-6.0	-7.0		-9.0												
Max Temp (deg C)	2010	12	26	4	0.9	-8.8	-8.5	-8.5	-9.0			-8.0											
Max Temp (deg C)	2010	12	27	4	0.9	-8.8	-8.5	-9.0	-9.0			-7.5											
Max Temp (deg C)	2010	12	28	4	0.9	-5.2	-5.0	-5.0	-5.0			-5.5											
Max Temp (deg C)	2011	1	1	4	0.9	8.5	6.5	10.5	9.0			9.0											
Max Temp (deg C)	2011	1	2	4	0.9	3.5	3.5	3.5	3.5			4.0											
Max Temp (deg C)	2011	1	3	4	0.9	-1.8	-2.0	-2.0	-1.0			-2.0											
Max Temp (deg C)	2011	1	4	4	0.9	-3.3	-3.5	-3.0	-3.0			-3.0											
Max Temp (deg C)	2011	1	5	4	0.87	-3.7	-3.0	-3.5	-4.0		-4.0												
Max Temp (deg C)	2011	1	6	4	0.9	-5.0	-4.5	-5.0	-5.0			-5.0											
Max Temp (deg C)	2011	1	7	4	0.9	-3.7	-3.0	-3.5	-4.0			-3.5											
Max Temp (deg C)	2011	1	8	4	0.9	-3.0	-3.0	-2.5	-3.0			-3.0											
Max Temp (deg C)	2011	1	9	4	0.9	-2.5	-2.0	-1.5	-3.0			-3.0											
Max Temp (deg C)	2011	1	10	4	0.9	-6.2	-5.0	-5.5	-7.0			-6.5											
Max Temp (deg C)	2011	1	11	4	0.9	-5.4	-5.5	-4.5	-5.0			-6.0											
Max Temp (deg C)	2011	1	12	4	0.9	-4.9	-5.0	-4.5	-5.0			-4.0											
Max Temp (deg C)	2011	1	13	4	0.87	-5.6	-5.0	-5.0	-6.0		-6.0												
Max Temp (deg C)	2011	1	14	4	0.9	-6.2	-6.5	-5.5	-6.0			-6.0											
Max Temp (deg C)	2011	1	15	4	0.9	-6.6	-8.0	-8.0	-5.0			-5.0											
Max Temp (deg C)	2011	1	16	4	0.88	-10.1	-9.0	-9.0	-11.0	-10.0													
Max Temp (deg C)	2011	1	17	4	1.02	-9.3	-13.0			-7.5	-7.5			-7.0									
Max Temp (deg C)	2011	1	18	4	0.94	-0.7	-1.0	-0.5		-1.0	-1.0												
Max Temp (deg C)	2011	1	19	4	0.9	-6.7	-7.0	-6.5			-7.0	-6.0											
Max Temp (deg C)	2011	1	20	4	0.94	-8.8	-9.0	-8.0		-8.5	-10.0												
Max Temp (deg C)	2011	1	21	4	0.91	-8.7	-8.0	-9.0		-10.0		-7.5											
Max Temp (deg C)	2011	1	22	4	0.91	-13.4	-14.0	-12.0		-14.0		-13.0											
Max Temp (deg C)	2011	1	23	4	0.9	-19.0	-18.5	-17.5			-21.0	-18.0											
Max Temp (deg C)	2011	1	24	4	0.9	-17.6	-19.0	-18.0			-17.0	-16.0											
Max Temp (deg C)	2011	1	25	4	0.9	-13.3	-15.0	-13.0	-12.0			-12.0											
Max Temp (deg C)	2011	1	26	4	0.9	-7.2	-7.5	-7.0	-7.0			-6.5											
Max Temp (deg C)	2011	1	27	4	0.87	-4.2	-4.0	-3.5	-4.0		-5.0												
Max Temp (deg C)	2011	1	28	4	0.87	-1.5	-2.0	-1.0	-1.0		-2.0												
Max Temp (deg C)	2011	1	29	4	0.94	-6.4	-7.0	-7.0		-6.0	-6.0												
