"Station Name","MARIEVILLE"
"Province","QUEBEC"
"Latitude","45.40"
"Longitude","-73.13"
"Elevation","38.00"
"Climate Identifier","7024627"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"[Empty]","No Data Available"
"M","Missing"
"E","Estimated"
"A","Accumulated"
"C","Precipitation Occurred; Amount Uncertain"
"L","Precipitation May or May Not Have Occurred"
"F","Accumulated and Estimated"
"N","Temperature Missing but Known to be > 0"
"Y","Temperature Missing but Known to be < 0"
"S","More Than One Occurrence"
"T","Trace"
"*","Data for this day has undergone only preliminary quality checking"
"**","Partner data that is not subject to review by the National Climate Archives."

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2002-01-01","2002","01","01","","-7.0","","-16.0","","-11.5","","29.5","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"2002-01-02","2002","01","02","","-3.0","","-11.0","","-7.0","","25.0","","0.0","","0.0","","0.0","","0.0","","11","","","","",""
"2002-01-03","2002","01","03","","-1.0","","-6.0","","-3.5","","21.5","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"2002-01-04","2002","01","04","","-2.0","","-18.0","","-10.0","","28.0","","0.0","","0.0","","0.0","T","0.0","T","8","","","","",""
"2002-01-05","2002","01","05","","1.0","","-4.5","","-1.8","","19.8","","0.0","","0.0","","0.0","T","0.0","T","8","","","","",""
"2002-01-06","2002","01","06","","1.0","","-0.5","","0.3","","17.7","","0.0","","2.0","","0.0","T","2.0","","8","","","","",""
"2002-01-07","2002","01","07","","-7.5","","-8.5","","-8.0","","26.0","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"2002-01-08","2002","01","08","","-2.0","","-15.0","","-8.5","","26.5","","0.0","","0.0","","1.5","","1.5","","6","","","","",""
"2002-01-09","2002","01","09","","2.0","","-3.5","","-0.8","","18.8","","0.0","","1.0","","0.0","T","1.0","","6","","","","",""
"2002-01-10","2002","01","10","","2.5","","-1.5","","0.5","","17.5","","0.0","","4.0","","0.0","","4.0","","5","","","","",""
"2002-01-11","2002","01","11","","2.5","","-1.0","","0.8","","17.2","","0.0","","5.0","","0.0","","5.0","","2","","","","",""
"2002-01-12","2002","01","12","","1.0","","-6.5","","-2.8","","20.8","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2002-01-13","2002","01","13","","1.5","","-4.5","","-1.5","","19.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2002-01-14","2002","01","14","","-6.0","","-11.5","","-8.8","","26.8","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"2002-01-15","2002","01","15","","-4.0","","-9.0","","-6.5","","24.5","","0.0","","0.0","","4.0","","4.0","","0","","","","",""
"2002-01-16","2002","01","16","","-4.0","","-7.5","","-5.8","","23.8","","0.0","","0.0","","0.0","T","0.0","T","3","","","","",""
"2002-01-17","2002","01","17","","0.0","","-13.0","","-6.5","","24.5","","0.0","","0.0","","5.0","","5.0","","8","","","","",""
"2002-01-18","2002","01","18","","-2.0","","-10.5","","-6.3","","24.3","","0.0","","0.0","","2.0","","2.0","","12","","","","",""
"2002-01-19","2002","01","19","","-4.0","","-19.0","","-11.5","","29.5","","0.0","","0.0","","0.0","","0.0","","13","","","","",""
"2002-01-20","2002","01","20","","0.5","","-8.0","","-3.8","","21.8","","0.0","","0.0","","0.0","","0.0","","13","","","","",""
"2002-01-21","2002","01","21","","1.5","","-2.0","","-0.3","","18.3","","0.0","","0.0","","6.0","","6.0","","13","","","","",""
"2002-01-22","2002","01","22","","1.5","","-3.0","","-0.8","","18.8","","0.0","","0.0","","0.0","","0.0","","18","","","","",""
"2002-01-23","2002","01","23","","5.0","","-3.5","","0.8","","17.2","","0.0","","5.0","","0.0","","5.0","","15","","","","",""
"2002-01-24","2002","01","24","","2.5","","-4.5","","-1.0","","19.0","","0.0","","1.0","","4.0","","5.0","","2","","","","",""
"2002-01-25","2002","01","25","","4.0","","-10.0","","-3.0","","21.0","","0.0","","0.0","","3.0","","3.0","","9","","","","",""
"2002-01-26","2002","01","26","","5.0","","-7.5","","-1.3","","19.3","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
