"Station Name","MARIEVILLE"
"Province","QUEBEC"
"Latitude","45.40"
"Longitude","-73.13"
"Elevation","38.00"
"Climate Identifier","7024627"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"[Empty]","No Data Available"
"M","Missing"
"E","Estimated"
"A","Accumulated"
"C","Precipitation Occurred; Amount Uncertain"
"L","Precipitation May or May Not Have Occurred"
"F","Accumulated and Estimated"
"N","Temperature Missing but Known to be > 0"
"Y","Temperature Missing but Known to be < 0"
"S","More Than One Occurrence"
"T","Trace"
"*","Data for this day has undergone only preliminary quality checking"
"**","Partner data that is not subject to review by the National Climate Archives."

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2013-01-01","2013","01","01","","-11.0","","-15.0","","-13.0","","31.0","","0.0","","0.0","","0.0","T","0.0","T","50","","","","",""
"2013-01-02","2013","01","02","","-15.0","","-22.0","","-18.5","","36.5","","0.0","","0.0","","0.0","","0.0","","51","","","","",""
"2013-01-03","2013","01","03","","","M","-27.0","","","M","","M","","M","0.0","","2.0","","2.0","","51","","","","",""
"2013-01-04","2013","01","04","","0.0","","-18.0","","-9.0","","27.0","","0.0","","0.0","","2.0","","2.0","","53","","","","",""
"2013-01-05","2013","01","05","","-3.0","","","M","","M","","M","","M","0.0","","1.0","","1.0","","55","","","","",""
"2013-01-06","2013","01","06","","-2.0","","-16.0","","-9.0","","27.0","","0.0","","0.0","","10.0","","10.0","","56","","","","",""
"2013-01-07","2013","01","07","","-1.5","","-18.0","","-9.8","","27.8","","0.0","","0.0","","0.0","","0.0","","60","","","","",""
"2013-01-08","2013","01","08","","2.0","","-22.0","","-10.0","","28.0","","0.0","","0.0","","0.0","","0.0","","60","","","","",""
"2013-01-09","2013","01","09","","5.0","","-10.0","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","58","","","","",""
"2013-01-10","2013","01","10","","2.5","","0.0","","1.3","","16.7","","0.0","","0.0","","0.0","","0.0","","45","","","","",""
"2013-01-11","2013","01","11","","4.0","","-7.0","","-1.5","","19.5","","0.0","","1.5","","0.0","","1.5","","40","","","","",""
"2013-01-12","2013","01","12","","6.5","","","M","","M","","M","","M","0.0","","0.0","","0.0","","25","","","","",""
"2013-01-13","2013","01","13","","10.0","","3.0","","6.5","","11.5","","0.0","","2.5","","0.0","","2.5","","5","","","","",""
"2013-01-14","2013","01","14","","6.0","","0.0","","3.0","","15.0","","0.0","","0.0","T","0.0","","0.0","T","0","","","","",""
"2013-01-15","2013","01","15","","0.0","","-5.0","","-2.5","","20.5","","0.0","","0.0","","1.0","","1.0","","0","","","","",""
"2013-01-16","2013","01","16","","1.0","","-3.0","","-1.0","","19.0","","0.0","","0.0","","0.0","T","0.0","T","0","T","","","",""
"2013-01-17","2013","01","17","","-4.0","","-14.0","","-9.0","","27.0","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"2013-01-18","2013","01","18","","","M","","M","","M","","M","","M","0.0","","0.0","C","0.0","C","0","T","","","",""
"2013-01-19","2013","01","19","","","M","","M","","M","","M","","M","0.0","C","0.0","C","0.0","C","","M","","","",""
"2013-01-20","2013","01","20","","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"2013-01-21","2013","01","21","","-13.5","","-18.0","","-15.8","","33.8","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"2013-01-22","2013","01","22","","","M","-20.0","","","M","","M","","M","0.0","","0.0","","0.0","","0","T","","","",""
"2013-01-23","2013","01","23","","-21.5","","-26.0","","-23.8","","41.8","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"2013-01-24","2013","01","24","","-17.0","","-24.0","","-20.5","","38.5","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"2013-01-25","2013","01","25","","-14.0","","","M","","M","","M","","M","0.0","","0.0","","0.0","","0","T","","","",""
"2013-01-26","2013","01","26","","","M","-20.0","","","M","","M","","M","0.0","","0.0","","0.0","","0","T","","","",""
"2013-01-27","2013","01","27","","","M","","M","","M","","M","","M","","M","","M","","M","0","T","","","",""
"2013-01-28","2013","01","28","","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"2013-01-29","2013","01","29","","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"2013-01-30","2013","01","30","","13.0","","","M","","M","","M","","M","","M","0.0","E","","M","","M","","","",""
"2013-01-31","2013","01","31","","5.0","","","M","","M","","M","","M","0.0","","0.0","","0.0","","0","","","","",""
"2013-02-01","2013","02","01","","-11.0","","-13.0","","-12.0","","30.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2013-02-02","2013","02","02","","-10.0","","-17.0","","-13.5","","31.5","","0.0","","0.0","","1.0","","1.0","","0","","","","",""
"2013-02-03","2013","02","03","","-8.0","","","M","","M","","M","","M","0.0","","0.0","T","0.0","T","1","","","","",""
"2013-02-04","2013","02","04","","-7.0","","-14.0","","-10.5","","28.5","","0.0","","0.0","","0.0","","0.0","","1","","","","",""
"2013-02-05","2013","02","05","","-6.0","","-21.0","","-13.5","","31.5","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"2013-02-06","2013","02","06","","-5.0","","-13.0","","-9.0","","27.0","","0.0","","0.0","","0.0","T","0.0","T","0","T","","","",""
"2013-02-07","2013","02","07","","-14.0","","-21.0","","-17.5","","35.5","","0.0","","0.0","","4.0","","4.0","","0","","","","",""
"2013-02-08","2013","02","08","","-8.0","","-18.0","","-13.0","","31.0","","0.0","","0.0","","12.0","","12.0","","4","","","","",""
"2013-02-09","2013","02","09","","","M","-14.0","","","M","","M","","M","0.0","","0.0","E","0.0","E","16","","","","",""
"2013-02-10","2013","02","10","","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"2013-02-11","2013","02","11","","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"2013-02-12","2013","02","12","","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"2013-02-13","2013","02","13","","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"2013-02-14","2013","02","14","","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"2013-02-15","2013","02","15","","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"2013-02-16","2013","02","16","","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"2013-02-17","2013","02","17","","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"2013-02-18","2013","02","18","","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"2013-02-19","2013","02","19","","","M","","M","","M","","M","","M","0.0","","","M","","M","","M","","","",""
"2013-02-20","2013","02","20","","-3.0","","-5.0","","-4.0","","22.0","","0.0","","0.0","","15.0","","15.0","","1","","","","",""
"2013-02-21","2013","02","21","","-6.0","","-14.0","","-10.0","","28.0","","0.0","","0.0","","2.0","","2.0","","15","","","","",""
"2013-02-22","2013","02","22","","1.0","","-9.0","","-4.0","","22.0","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
