"Station Name","MARIEVILLE"
"Province","QUEBEC"
"Latitude","45.40"
"Longitude","-73.13"
"Elevation","38.00"
"Climate Identifier","7024627"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"[Empty]","No Data Available"
"M","Missing"
"E","Estimated"
"A","Accumulated"
"C","Precipitation Occurred; Amount Uncertain"
"L","Precipitation May or May Not Have Occurred"
"F","Accumulated and Estimated"
"N","Temperature Missing but Known to be > 0"
"Y","Temperature Missing but Known to be < 0"
"S","More Than One Occurrence"
"T","Trace"
"*","Data for this day has undergone only preliminary quality checking"
"**","Partner data that is not subject to review by the National Climate Archives."

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1989-01-01","1989","01","01","","-0.5","","-20.5","","-10.5","","28.5","","0.0","","0.0","","3.0","","3.0","","2","","","","",""
"1989-01-02","1989","01","02","","0.0","","-16.5","","-8.3","","26.3","","0.0","","0.0","","6.0","","6.0","","5","","","","",""
"1989-01-03","1989","01","03","","-11.0","","-19.5","","-15.3","","33.3","","0.0","","0.0","","0.0","","0.0","","12","","","","",""
"1989-01-04","1989","01","04","","-21.0","","-31.5","","-26.3","","44.3","","0.0","","0.0","","0.0","","0.0","","12","","","","",""
"1989-01-05","1989","01","05","","-16.5","","-30.0","","-23.3","","41.3","","0.0","","0.0","","0.0","","0.0","","12","","","","",""
"1989-01-06","1989","01","06","","-10.0","","-25.5","","-17.8","","35.8","","0.0","","0.0","","0.0","","0.0","","12","","","","",""
"1989-01-07","1989","01","07","","4.5","","-20.0","","-7.8","","25.8","","0.0","","5.8","","0.0","","5.8","","12","","","","",""
"1989-01-08","1989","01","08","","6.5","","-7.0","","-0.3","","18.3","","0.0","","3.8","","0.0","T","3.8","","4","","","","",""
"1989-01-09","1989","01","09","","-4.5","","-8.0","","-6.3","","24.3","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"1989-01-10","1989","01","10","","0.5","","-13.0","","-6.3","","24.3","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"1989-01-11","1989","01","11","","-5.0","","-14.0","","-9.5","","27.5","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
