"Station Name","MARIEVILLE"
"Province","QUEBEC"
"Latitude","45.40"
"Longitude","-73.13"
"Elevation","38.00"
"Climate Identifier","7024627"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"[Empty]","No Data Available"
"M","Missing"
"E","Estimated"
"A","Accumulated"
"C","Precipitation Occurred; Amount Uncertain"
"L","Precipitation May or May Not Have Occurred"
"F","Accumulated and Estimated"
"N","Temperature Missing but Known to be > 0"
"Y","Temperature Missing but Known to be < 0"
"S","More Than One Occurrence"
"T","Trace"
"*","Data for this day has undergone only preliminary quality checking"
"**","Partner data that is not subject to review by the National Climate Archives."

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1990-01-01","1990","01","01","","0.0","","-8.0","","-4.0","","22.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1990-01-02","1990","01","02","","1.0","E","-12.0","","-5.5","","23.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1990-01-03","1990","01","03","","3.5","","-5.0","","-0.8","","18.8","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1990-01-04","1990","01","04","","5.0","","-3.0","","1.0","","17.0","","0.0","","0.0","T","0.0","","0.0","T","0","","","","",""
"1990-01-05","1990","01","05","","-2.0","","-7.0","","-4.5","","22.5","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"1990-01-06","1990","01","06","","-1.0","","-9.0","","-5.0","","23.0","","0.0","","0.0","","2.0","","2.0","","0","","","","",""
"1990-01-07","1990","01","07","","2.0","","-15.5","","-6.8","","24.8","","0.0","","0.0","","1.0","","1.0","","0","","","","",""
"1990-01-08","1990","01","08","","4.0","","-4.0","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1990-01-09","1990","01","09","","4.0","","-6.5","","-1.3","","19.3","","0.0","","0.0","T","0.0","","0.0","T","0","","","","",""
"1990-01-10","1990","01","10","","0.0","","-6.0","","-3.0","","21.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1990-01-11","1990","01","11","","2.0","","-7.0","","-2.5","","20.5","","0.0","","0.0","T","7.0","","7.0","","0","","","","",""
"1990-01-12","1990","01","12","","1.5","","-4.0","E","-1.3","","19.3","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"1990-01-13","1990","01","13","","-6.0","","-18.0","","-12.0","","30.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1990-01-14","1990","01","14","","-15.0","","-27.0","","-21.0","","39.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1990-01-15","1990","01","15","","-6.0","","-25.0","","-15.5","","33.5","","0.0","","0.0","","1.0","","1.0","","0","","","","",""
"1990-01-16","1990","01","16","","-2.5","","-11.5","","-7.0","","25.0","","0.0","","0.0","","5.0","","5.0","","0","","","","",""
"1990-01-17","1990","01","17","","7.5","","-8.0","","-0.3","","18.3","","0.0","","6.0","","0.0","","6.0","","0","","","","",""
"1990-01-18","1990","01","18","","7.0","","-1.5","","2.8","","15.2","","0.0","","3.0","","0.0","","3.0","","0","","","","",""
"1990-01-19","1990","01","19","","-2.0","","-11.0","","-6.5","","24.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1990-01-20","1990","01","20","","0.0","","-13.0","","-6.5","","24.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1990-01-21","1990","01","21","","-6.0","","-16.0","","-11.0","","29.0","","0.0","","0.0","","7.0","","7.0","","0","","","","",""
"1990-01-22","1990","01","22","","-1.0","","-14.5","","-7.8","","25.8","","0.0","","0.0","","6.0","","6.0","","0","","","","",""
"1990-01-23","1990","01","23","","2.0","","-11.5","","-4.8","","22.8","","0.0","","5.0","","0.0","T","5.0","","0","","","","",""
"1990-01-24","1990","01","24","","5.5","","-7.0","","-0.8","","18.8","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1990-01-25","1990","01","25","","8.5","","-5.0","","1.8","","16.2","","0.0","","9.0","","0.0","","9.0","","0","","","","",""
"1990-01-26","1990","01","26","","3.0","","0.0","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1990-01-27","1990","01","27","","6.0","","-7.0","","-0.5","","18.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1990-01-28","1990","01","28","","5.0","","-1.0","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1990-01-29","1990","01","29","","2.0","","-6.0","","-2.0","","20.0","","0.0","","0.0","T","4.0","","4.0","","0","","","","",""
"1990-01-30","1990","01","30","","-2.0","","-5.0","","-3.5","","21.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1990-01-31","1990","01","31","","2.0","","-11.5","","-4.8","","22.8","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1990-02-01","1990","02","01","","5.0","","-4.0","","0.5","","17.5","","0.0","","0.0","T","0.0","","0.0","T","0","","","","",""
"1990-02-02","1990","02","02","","-9.0","E","-14.5","","-11.8","","29.8","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1990-02-03","1990","02","03","","-12.5","","-21.5","","-17.0","","35.0","","0.0","","0.0","","5.0","","5.0","","0","","","","",""
"1990-02-04","1990","02","04","","-12.0","","-16.0","","-14.0","","32.0","","0.0","","0.0","","3.0","","3.0","","0","","","","",""
"1990-02-05","1990","02","05","","-3.5","","-27.0","","-15.3","","33.3","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1990-02-06","1990","02","06","","3.0","","-15.0","","-6.0","","24.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1990-02-07","1990","02","07","","3.0","","-11.5","","-4.3","","22.3","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1990-02-08","1990","02","08","","6.0","","-10.0","","-2.0","","20.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1990-02-09","1990","02","09","","6.0","","-1.0","","2.5","","15.5","","0.0","","12.0","","0.0","","12.0","","0","","","","",""
"1990-02-10","1990","02","10","","4.0","","-1.5","","1.3","","16.7","","0.0","","3.5","","0.0","T","3.5","","0","","","","",""
"1990-02-11","1990","02","11","","-1.0","","-6.5","","-3.8","","21.8","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1990-02-12","1990","02","12","","-4.0","","-13.0","","-8.5","","26.5","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"1990-02-13","1990","02","13","","4.0","","-9.5","","-2.8","","20.8","","0.0","","8.5","","0.0","","8.5","","0","","","","",""
"1990-02-14","1990","02","14","","-1.0","","-9.0","","-5.0","","23.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1990-02-15","1990","02","15","","-3.5","","-11.5","","-7.5","","25.5","","0.0","","0.0","T","5.0","","5.0","","0","","","","",""
"1990-02-16","1990","02","16","","-4.0","","-9.5","","-6.8","","24.8","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1990-02-17","1990","02","17","","-6.0","","-15.5","","-10.8","","28.8","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1990-02-18","1990","02","18","","1.0","","-25.5","","-12.3","","30.3","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1990-02-19","1990","02","19","","5.0","","-13.0","","-4.0","","22.0","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"1990-02-20","1990","02","20","","-10.0","","-19.0","","-14.5","","32.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
