Station Name	QUEBEC/JEAN LESAGE INTL A
Province	QUEBEC
Latitude	46.8
Longitude	-71.38
Elevation	74.4
Climate Identifier	7016294

Created by	WHAT Beta 4.0.5
Created on	14/12/2014

*** FILL PROCEDURE INFO ***

MLR model	Least Absolute Deviations
Precip correction	Not Available
Wet days correction	Not Available
Max number of stations	1
Cutoff distance (km)	100
Cutoff altitude difference (m)	350
Date Start	1985/01/01
Date End	2005/12/31


*** SUMMARY TABLE ***

CLIMATE VARIABLE	TOTAL MISSING	TOTAL FILLED		AVG. NBR STA.	AVG. RMSE		QUEBEC/JEAN LESAGE INTL	LAUZON	CHATEAU RICHER	STE-FOY (U. LAVAL)
Max Temp (deg C)	3653 (47.6 % of total)	3653 (100.0 % of missing)		1.0	0.63		3646 (99.8 % of filled)	7 (0.2 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)
Min Temp (deg C)	3653 (47.6 % of total)	3653 (100.0 % of missing)		1.0	0.61		3646 (99.8 % of filled)	7 (0.2 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)
Mean Temp (deg C)	3653 (47.6 % of total)	3653 (100.0 % of missing)		1.0	0.45		3645 (99.8 % of filled)	8 (0.2 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)
Total Precip (mm)	1764 (23.0 % of total)	1764 (100.0 % of missing)		1.0	3.26		1739 (98.6 % of filled)	3 (0.2 % of filled)	11 (0.6 % of filled)	11 (0.6 % of filled)

TOTAL	12723 (41.5 % of total)	12723 (100.0 % of missing)		---	---		12676 (99.6 % of filled)	25 (0.2 % of filled)	11 (0.1 % of filled)	11 (0.1 % of filled)


*** DETAILED REPORT ***

VARIABLE	YEAR	MONTH	DAY	NBR STA.	RMSE	QUEBEC/JEAN LESAGE INTL A	QUEBEC/JEAN LESAGE INTL	LAUZON	CHATEAU RICHER	STE-FOY (U. LAVAL)
Max Temp (deg C)	2003	11	11	1	0.62	4.0	4.0			
Max Temp (deg C)	2003	11	12	1	0.62	5.9	5.9			
Max Temp (deg C)	2003	11	13	1	0.62	3.9	3.9			
Max Temp (deg C)	2003	11	14	1	0.62	1.3	1.3			
Max Temp (deg C)	2003	11	15	1	0.62	0.0	0.0			
Max Temp (deg C)	2003	11	16	1	0.62	2.0	2.0			
Max Temp (deg C)	2003	11	17	1	0.62	2.1	2.1			
Max Temp (deg C)	2003	11	18	1	0.62	4.5	4.5			
Max Temp (deg C)	2003	11	19	1	0.62	12.1	12.1			
Max Temp (deg C)	2003	11	20	1	0.62	11.7	11.7			
Max Temp (deg C)	2003	11	21	1	0.62	6.7	6.7			
Max Temp (deg C)	2003	11	22	1	0.62	5.1	5.1			
Max Temp (deg C)	2003	11	23	1	0.62	2.0	2.0			
Max Temp (deg C)	2003	11	24	1	0.62	5.8	5.8			
Max Temp (deg C)	2003	11	25	1	0.62	5.5	5.5			
Max Temp (deg C)	2003	11	26	1	0.62	2.7	2.7			
Max Temp (deg C)	2003	11	27	1	0.62	5.6	5.6			
Max Temp (deg C)	2003	11	28	1	0.62	2.7	2.7			
Max Temp (deg C)	2003	11	29	1	0.62	5.1	5.1			
Max Temp (deg C)	2003	11	30	1	0.62	1.7	1.7			
Max Temp (deg C)	2003	12	1	1	0.62	1.3	1.3			
Max Temp (deg C)	2003	12	2	1	0.62	-9.1	-9.1			
Max Temp (deg C)	2003	12	3	1	0.62	-5.2	-5.2			
Max Temp (deg C)	2003	12	4	1	0.62	-7.6	-7.6			
Max Temp (deg C)	2003	12	5	1	0.62	-9.0	-9.0			
Max Temp (deg C)	2003	12	6	1	0.62	-4.7	-4.7			
Max Temp (deg C)	2003	12	7	1	0.62	-1.8	-1.8			
Max Temp (deg C)	2003	12	8	1	0.62	-2.7	-2.7			
Max Temp (deg C)	2003	12	9	1	0.62	-6.2	-6.2			
Max Temp (deg C)	2003	12	10	1	0.62	-2.7	-2.7			
Max Temp (deg C)	2003	12	11	1	0.62	3.7	3.7			
Max Temp (deg C)	2003	12	12	1	0.62	2.8	2.8			
Max Temp (deg C)	2003	12	13	1	0.62	-11.8	-11.8			
Max Temp (deg C)	2003	12	14	1	0.62	-6.0	-6.0			
Max Temp (deg C)	2003	12	15	1	0.62	-3.0	-3.0			
Max Temp (deg C)	2003	12	16	1	0.62	-3.0	-3.0			
Max Temp (deg C)	2003	12	17	1	0.62	2.8	2.8			
Max Temp (deg C)	2003	12	18	1	0.62	4.2	4.2			
Max Temp (deg C)	2003	12	19	1	0.62	-5.4	-5.4			
Max Temp (deg C)	2003	12	20	1	0.62	-8.6	-8.6			
Max Temp (deg C)	2003	12	21	1	0.62	-7.1	-7.1			
Max Temp (deg C)	2003	12	22	1	0.62	-6.3	-6.3			
Max Temp (deg C)	2003	12	23	1	0.62	-0.4	-0.4			
Max Temp (deg C)	2003	12	24	1	0.62	1.4	1.4			
Max Temp (deg C)	2003	12	25	1	0.62	1.4	1.4			
Max Temp (deg C)	2003	12	26	1	0.62	1.9	1.9			
Max Temp (deg C)	2003	12	27	1	0.62	-0.4	-0.4			
Max Temp (deg C)	2003	12	28	1	0.62	-3.8	-3.8			
Max Temp (deg C)	2003	12	29	1	0.62	0.5	0.5			
Max Temp (deg C)	2003	12	30	1	0.62	2.1	2.1			
Max Temp (deg C)	2003	12	31	1	0.62	-0.3	-0.3			
Max Temp (deg C)	2004	1	1	1	0.62	-2.7	-2.7			
Max Temp (deg C)	2004	1	2	1	0.62	-8.1	-8.1			
Max Temp (deg C)	2004	1	3	1	0.62	-0.5	-0.5			
Max Temp (deg C)	2004	1	4	1	0.62	-0.5	-0.5			
Max Temp (deg C)	2004	1	5	1	0.62	-8.5	-8.5			
Max Temp (deg C)	2004	1	6	1	0.62	-9.3	-9.3			
Max Temp (deg C)	2004	1	7	1	0.62	-13.2	-13.2			
Max Temp (deg C)	2004	1	8	1	0.62	-22.8	-22.8			
Max Temp (deg C)	2004	1	9	1	0.62	-20.4	-20.4			
Max Temp (deg C)	2004	1	10	1	0.62	-20.8	-20.8			
Max Temp (deg C)	2004	1	11	1	0.62	-18.5	-18.5			
Max Temp (deg C)	2004	1	12	1	0.62	-11.4	-11.4			
Max Temp (deg C)	2004	1	13	1	0.62	-11.6	-11.6			
Max Temp (deg C)	2004	1	14	1	0.62	-25.3	-25.3			
Max Temp (deg C)	2004	1	15	1	0.62	-25.0	-25.0			
Max Temp (deg C)	2004	1	16	1	0.62	-5.8	-5.8			
Max Temp (deg C)	2004	1	17	1	0.62	-5.5	-5.5			
Max Temp (deg C)	2004	1	18	1	0.62	-7.1	-7.1			
Max Temp (deg C)	2004	1	19	1	0.62	-6.9	-6.9			
Max Temp (deg C)	2004	1	20	1	0.62	-6.4	-6.4			
Max Temp (deg C)	2004	1	21	1	0.62	-9.4	-9.4			
Max Temp (deg C)	2004	1	22	1	0.62	-9.3	-9.3			
Max Temp (deg C)	2004	1	23	1	0.62	-14.4	-14.4			
Max Temp (deg C)	2004	1	24	1	0.62	-20.8	-20.8			
Max Temp (deg C)	2004	1	25	1	0.62	-22.4	-22.4			
Max Temp (deg C)	2004	1	26	1	0.62	-19.5	-19.5			
Max Temp (deg C)	2004	1	27	1	0.62	-16.0	-16.0			
Max Temp (deg C)	2004	1	28	1	0.62	-11.2	-11.2			
Max Temp (deg C)	2004	1	29	1	0.62	-11.9	-11.9			
Max Temp (deg C)	2004	1	30	1	0.62	-14.3	-14.3			
Max Temp (deg C)	2004	1	31	1	0.62	-10.9	-10.9			
Max Temp (deg C)	2004	2	1	1	0.62	-3.4	-3.4			
Max Temp (deg C)	2004	2	2	1	0.62	-5.0	-5.0			
Max Temp (deg C)	2004	2	3	1	0.62	-3.1	-3.1			
Max Temp (deg C)	2004	2	4	1	0.62	-0.3	-0.3			
Max Temp (deg C)	2004	2	5	1	0.62	-8.7	-8.7			
Max Temp (deg C)	2004	2	6	1	0.62	-7.5	-7.5			
Max Temp (deg C)	2004	2	7	1	0.62	-5.3	-5.3			
Max Temp (deg C)	2004	2	8	1	0.62	-11.8	-11.8			
Max Temp (deg C)	2004	2	9	1	0.62	-0.2	-0.2			
Max Temp (deg C)	2004	2	10	1	0.62	0.8	0.8			
Max Temp (deg C)	2004	2	11	1	0.62	-2.9	-2.9			
Max Temp (deg C)	2004	2	12	1	0.62	-9.3	-9.3			
Max Temp (deg C)	2004	2	13	1	0.62	-1.7	-1.7			
Max Temp (deg C)	2004	2	14	1	0.62	-2.1	-2.1			
Max Temp (deg C)	2004	2	15	1	0.62	-19.4	-19.4			
Max Temp (deg C)	2004	2	16	1	0.62	-13.4	-13.4			
Max Temp (deg C)	2004	2	17	1	0.62	-11.0	-11.0			
Max Temp (deg C)	2004	2	18	1	0.62	-3.1	-3.1			
Max Temp (deg C)	2004	2	19	1	0.62	-2.7	-2.7			
Max Temp (deg C)	2004	2	20	1	0.62	0.5	0.5			
Max Temp (deg C)	2004	2	21	1	0.62	-3.5	-3.5			
Max Temp (deg C)	2004	2	22	1	0.62	-2.8	-2.8			
Max Temp (deg C)	2004	2	23	1	0.62	-1.2	-1.2			
Max Temp (deg C)	2004	2	24	1	0.62	-4.7	-4.7			
Max Temp (deg C)	2004	2	25	1	0.62	1.2	1.2			
Max Temp (deg C)	2004	2	26	1	0.62	-0.5	-0.5			
Max Temp (deg C)	2004	2	27	1	0.62	3.4	3.4			
Max Temp (deg C)	2004	2	28	1	0.62	2.0	2.0			
Max Temp (deg C)	2004	2	29	1	0.62	2.1	2.1			
Max Temp (deg C)	2004	3	1	1	0.62	2.1	2.1			
Max Temp (deg C)	2004	3	2	1	0.62	3.7	3.7			
Max Temp (deg C)	2004	3	3	1	0.62	3.3	3.3			
Max Temp (deg C)	2004	3	4	1	0.62	0.9	0.9			
Max Temp (deg C)	2004	3	5	1	0.62	-0.5	-0.5			
Max Temp (deg C)	2004	3	6	1	0.62	0.5	0.5			
Max Temp (deg C)	2004	3	7	1	0.62	-0.6	-0.6			
Max Temp (deg C)	2004	3	8	1	0.62	-1.9	-1.9			
Max Temp (deg C)	2004	3	9	1	0.62	-0.6	-0.6			
Max Temp (deg C)	2004	3	10	1	0.62	2.5	2.5			
Max Temp (deg C)	2004	3	11	1	0.62	5.1	5.1			
Max Temp (deg C)	2004	3	12	1	0.62	0.9	0.9			
Max Temp (deg C)	2004	3	13	1	0.62	0.4	0.4			
Max Temp (deg C)	2004	3	14	1	0.62	-2.6	-2.6			
Max Temp (deg C)	2004	3	15	1	0.62	2.7	2.7			
Max Temp (deg C)	2004	3	16	1	0.62	-6.7	-6.7			
Max Temp (deg C)	2004	3	17	1	0.62	-6.5	-6.5			
Max Temp (deg C)	2004	3	18	1	0.62	-4.7	-4.7			
Max Temp (deg C)	2004	3	19	1	0.62	-0.8	-0.8			
Max Temp (deg C)	2004	3	20	1	0.62	1.0	1.0			
Max Temp (deg C)	2004	3	21	1	0.62	2.8	2.8			
Max Temp (deg C)	2004	3	22	1	0.62	-9.6	-9.6			
Max Temp (deg C)	2004	3	23	1	0.62	-3.6	-3.6			
Max Temp (deg C)	2004	3	24	1	0.62	-1.0	-1.0			
Max Temp (deg C)	2004	3	25	1	0.62	3.8	3.8			
Max Temp (deg C)	2004	3	26	1	0.62	8.4	8.4			
Max Temp (deg C)	2004	3	27	1	0.62	6.0	6.0			
Max Temp (deg C)	2004	3	28	1	0.62	2.1	2.1			
Max Temp (deg C)	2004	3	29	1	0.62	11.2	11.2			
Max Temp (deg C)	2004	3	30	1	0.62	14.0	14.0			
Max Temp (deg C)	2004	3	31	1	0.62	9.0	9.0			
Max Temp (deg C)	2004	4	1	1	0.62	4.9	4.9			
Max Temp (deg C)	2004	4	2	1	0.62	3.5	3.5			
Max Temp (deg C)	2004	4	3	1	0.62	2.3	2.3			
Max Temp (deg C)	2004	4	4	1	0.62	1.3	1.3			
Max Temp (deg C)	2004	4	5	1	0.62	-1.1	-1.1			
Max Temp (deg C)	2004	4	6	1	0.62	5.2	5.2			
Max Temp (deg C)	2004	4	7	1	0.62	5.3	5.3			
Max Temp (deg C)	2004	4	8	1	0.62	7.3	7.3			
Max Temp (deg C)	2004	4	9	1	0.62	4.4	4.4			
Max Temp (deg C)	2004	4	10	1	0.62	1.4	1.4			
Max Temp (deg C)	2004	4	11	1	0.62	4.2	4.2			
Max Temp (deg C)	2004	4	12	1	0.62	7.6	7.6			
Max Temp (deg C)	2004	4	13	1	0.62	4.2	4.2			
Max Temp (deg C)	2004	4	14	1	0.62	7.7	7.7			
Max Temp (deg C)	2004	4	15	1	0.62	8.0	8.0			
Max Temp (deg C)	2004	4	16	1	0.62	7.0	7.0			
Max Temp (deg C)	2004	4	17	1	0.62	9.3	9.3			
Max Temp (deg C)	2004	4	18	1	0.62	12.4	12.4			
Max Temp (deg C)	2004	4	19	1	0.62	18.7	18.7			
Max Temp (deg C)	2004	4	20	1	0.62	9.8	9.8			
Max Temp (deg C)	2004	4	21	1	0.62	9.9	9.9			
Max Temp (deg C)	2004	4	22	1	0.62	16.3	16.3			
Max Temp (deg C)	2004	4	23	1	0.62	8.5	8.5			
Max Temp (deg C)	2004	4	24	1	0.62	6.9	6.9			
Max Temp (deg C)	2004	4	25	1	0.62	5.4	5.4			
Max Temp (deg C)	2004	4	26	1	0.62	5.8	5.8			
Max Temp (deg C)	2004	4	27	1	0.62	11.1	11.1			
Max Temp (deg C)	2004	4	28	1	0.62	8.6	8.6			
Max Temp (deg C)	2004	4	29	1	0.62	22.8	22.8			
Max Temp (deg C)	2004	4	30	1	0.62	26.6	26.6			
Max Temp (deg C)	2004	5	1	1	0.62	16.8	16.8			
Max Temp (deg C)	2004	5	2	1	0.62	13.2	13.2			
Max Temp (deg C)	2004	5	3	1	0.62	11.0	11.0			
Max Temp (deg C)	2004	5	4	1	0.62	9.7	9.7			
Max Temp (deg C)	2004	5	5	1	0.62	10.2	10.2			
Max Temp (deg C)	2004	5	6	1	0.62	12.7	12.7			
Max Temp (deg C)	2004	5	7	1	0.62	10.6	10.6			
Max Temp (deg C)	2004	5	8	1	0.62	11.6	11.6			
Max Temp (deg C)	2004	5	9	1	0.62	19.6	19.6			
Max Temp (deg C)	2004	5	10	1	0.62	15.3	15.3			
Max Temp (deg C)	2004	5	11	1	0.62	18.8	18.8			
Max Temp (deg C)	2004	5	12	1	0.62	17.8	17.8			
Max Temp (deg C)	2004	5	13	1	0.62	8.6	8.6			
Max Temp (deg C)	2004	5	14	1	0.62	23.7	23.7			
Max Temp (deg C)	2004	5	15	1	0.62	24.4	24.4			
Max Temp (deg C)	2004	5	16	1	0.62	15.2	15.2			
Max Temp (deg C)	2004	5	17	1	0.62	21.8	21.8			
Max Temp (deg C)	2004	5	18	1	0.62	20.6	20.6			
Max Temp (deg C)	2004	5	19	1	0.62	21.6	21.6			
Max Temp (deg C)	2004	5	20	1	0.62	23.5	23.5			
Max Temp (deg C)	2004	5	21	1	0.62	16.6	16.6			
Max Temp (deg C)	2004	5	22	1	0.62	18.7	18.7			
Max Temp (deg C)	2004	5	23	1	0.62	20.7	20.7			
Max Temp (deg C)	2004	5	24	1	0.62	12.5	12.5			
Max Temp (deg C)	2004	5	25	1	0.62	11.9	11.9			
Max Temp (deg C)	2004	5	26	1	0.62	10.7	10.7			
Max Temp (deg C)	2004	5	27	1	0.62	20.9	20.9			
Max Temp (deg C)	2004	5	28	1	0.62	14.6	14.6			
Max Temp (deg C)	2004	5	29	1	0.62	12.9	12.9			
Max Temp (deg C)	2004	5	30	1	0.62	17.3	17.3			
Max Temp (deg C)	2004	5	31	1	0.62	16.5	16.5			
Max Temp (deg C)	2004	6	1	1	0.62	10.8	10.8			
Max Temp (deg C)	2004	6	2	1	0.62	10.1	10.1			
Max Temp (deg C)	2004	6	3	1	0.62	14.5	14.5			
Max Temp (deg C)	2004	6	4	1	0.62	20.0	20.0			
Max Temp (deg C)	2004	6	5	1	0.62	23.1	23.1			
Max Temp (deg C)	2004	6	6	1	0.62	21.2	21.2			
Max Temp (deg C)	2004	6	7	1	0.62	22.3	22.3			
Max Temp (deg C)	2004	6	8	1	0.62	28.5	28.5			
Max Temp (deg C)	2004	6	9	1	0.62	27.0	27.0			
Max Temp (deg C)	2004	6	10	1	0.62	19.4	19.4			
Max Temp (deg C)	2004	6	11	1	0.62	19.5	19.5			
Max Temp (deg C)	2004	6	12	1	0.62	20.8	20.8			
Max Temp (deg C)	2004	6	13	1	0.62	25.2	25.2			
Max Temp (deg C)	2004	6	14	1	0.62	22.5	22.5			
Max Temp (deg C)	2004	6	15	1	0.62	25.3	25.3			
Max Temp (deg C)	2004	6	16	1	0.62	21.4	21.4			
Max Temp (deg C)	2004	6	17	1	0.62	26.6	26.6			
Max Temp (deg C)	2004	6	18	1	0.62	19.7	19.7			
Max Temp (deg C)	2004	6	19	1	0.62	21.8	21.8			
Max Temp (deg C)	2004	6	20	1	0.62	21.5	21.5			
Max Temp (deg C)	2004	6	21	1	0.62	19.6	19.6			
Max Temp (deg C)	2004	6	22	1	0.62	19.8	19.8			
Max Temp (deg C)	2004	6	23	1	0.62	23.6	23.6			
Max Temp (deg C)	2004	6	24	1	0.62	21.7	21.7			
Max Temp (deg C)	2004	6	25	1	0.62	18.9	18.9			
Max Temp (deg C)	2004	6	26	1	0.62	21.2	21.2			
Max Temp (deg C)	2004	6	27	1	0.62	21.0	21.0			
Max Temp (deg C)	2004	6	28	1	0.62	20.5	20.5			
Max Temp (deg C)	2004	6	29	1	0.62	22.4	22.4			
Max Temp (deg C)	2004	6	30	1	0.62	21.5	21.5			
Max Temp (deg C)	2004	7	1	1	0.62	25.1	25.1			
Max Temp (deg C)	2004	7	2	1	0.62	22.2	22.2			
Max Temp (deg C)	2004	7	3	1	0.62	22.8	22.8			
Max Temp (deg C)	2004	7	4	1	0.62	26.6	26.6			
Max Temp (deg C)	2004	7	5	1	0.62	21.2	21.2			
Max Temp (deg C)	2004	7	6	1	0.62	25.0	25.0			
Max Temp (deg C)	2004	7	7	1	0.62	26.2	26.2			
Max Temp (deg C)	2004	7	8	1	0.62	19.5	19.5			
Max Temp (deg C)	2004	7	9	1	0.62	18.2	18.2			
Max Temp (deg C)	2004	7	10	1	0.62	17.8	17.8			
Max Temp (deg C)	2004	7	11	1	0.62	26.0	26.0			
Max Temp (deg C)	2004	7	12	1	0.62	27.7	27.7			
Max Temp (deg C)	2004	7	13	1	0.62	26.2	26.2			
Max Temp (deg C)	2004	7	14	1	0.62	23.8	23.8			
Max Temp (deg C)	2004	7	15	1	0.62	18.6	18.6			
Max Temp (deg C)	2004	7	16	1	0.62	21.2	21.2			
Max Temp (deg C)	2004	7	17	1	0.62	26.9	26.9			
Max Temp (deg C)	2004	7	18	1	0.62	25.6	25.6			
Max Temp (deg C)	2004	7	19	1	0.62	24.9	24.9			
Max Temp (deg C)	2004	7	20	1	0.62	27.6	27.6			
Max Temp (deg C)	2004	7	21	1	0.62	27.7	27.7			
Max Temp (deg C)	2004	7	22	1	0.62	31.2	31.2			
Max Temp (deg C)	2004	7	23	1	0.62	22.5	22.5			
Max Temp (deg C)	2004	7	24	1	0.62	22.5	22.5			
Max Temp (deg C)	2004	7	25	1	0.62	23.7	23.7			
Max Temp (deg C)	2004	7	26	1	0.62	25.2	25.2			
Max Temp (deg C)	2004	7	27	1	0.62	25.1	25.1			
Max Temp (deg C)	2004	7	28	1	0.62	26.2	26.2			
Max Temp (deg C)	2004	7	29	1	0.62	27.2	27.2			
Max Temp (deg C)	2004	7	30	1	0.62	29.2	29.2			
Max Temp (deg C)	2004	7	31	1	0.62	23.9	23.9			
Max Temp (deg C)	2004	8	1	1	0.62	27.1	27.1			
Max Temp (deg C)	2004	8	2	1	0.62	27.2	27.2			
Max Temp (deg C)	2004	8	3	1	0.62	25.7	25.7			
Max Temp (deg C)	2004	8	4	1	0.62	24.5	24.5			
Max Temp (deg C)	2004	8	5	1	0.62	20.3	20.3			
Max Temp (deg C)	2004	8	6	1	0.62	20.1	20.1			
Max Temp (deg C)	2004	8	7	1	0.62	20.9	20.9			
Max Temp (deg C)	2004	8	8	1	0.62	22.1	22.1			
Max Temp (deg C)	2004	8	9	1	0.62	27.3	27.3			
Max Temp (deg C)	2004	8	10	1	0.62	26.2	26.2			
Max Temp (deg C)	2004	8	11	1	0.62	27.2	27.2			
Max Temp (deg C)	2004	8	12	1	0.62	21.1	21.1			
Max Temp (deg C)	2004	8	13	1	0.62	18.8	18.8			
Max Temp (deg C)	2004	8	14	1	0.62	23.2	23.2			
Max Temp (deg C)	2004	8	15	1	0.62	23.7	23.7			
Max Temp (deg C)	2004	8	16	1	0.62	24.6	24.6			
Max Temp (deg C)	2004	8	17	1	0.62	25.6	25.6			
Max Temp (deg C)	2004	8	18	1	0.62	24.6	24.6			
Max Temp (deg C)	2004	8	19	1	0.62	24.7	24.7			
Max Temp (deg C)	2004	8	20	1	0.62	22.8	22.8			
Max Temp (deg C)	2004	8	21	1	0.62	19.9	19.9			
Max Temp (deg C)	2004	8	22	1	0.62	21.1	21.1			
Max Temp (deg C)	2004	8	23	1	0.62	20.3	20.3			
Max Temp (deg C)	2004	8	24	1	0.62	20.3	20.3			
Max Temp (deg C)	2004	8	25	1	0.62	22.2	22.2			
Max Temp (deg C)	2004	8	26	1	0.62	26.0	26.0			
Max Temp (deg C)	2004	8	27	1	0.62	22.3	22.3			
Max Temp (deg C)	2004	8	28	1	0.62	29.0	29.0			
Max Temp (deg C)	2004	8	29	1	0.62	18.7	18.7			
Max Temp (deg C)	2004	8	30	1	0.62	17.1	17.1			
Max Temp (deg C)	2004	8	31	1	0.62	22.8	22.8			
Max Temp (deg C)	2004	9	1	1	0.62	19.9	19.9			
Max Temp (deg C)	2004	9	2	1	0.62	17.8	17.8			
Max Temp (deg C)	2004	9	3	1	0.62	21.7	21.7			
Max Temp (deg C)	2004	9	4	1	0.62	17.3	17.3			
Max Temp (deg C)	2004	9	5	1	0.62	19.4	19.4			
Max Temp (deg C)	2004	9	6	1	0.62	21.4	21.4			
Max Temp (deg C)	2004	9	7	1	0.62	21.5	21.5			
Max Temp (deg C)	2004	9	8	1	0.62	20.5	20.5			
Max Temp (deg C)	2004	9	9	1	0.62	14.3	14.3			
Max Temp (deg C)	2004	9	10	1	0.62	19.0	19.0			
Max Temp (deg C)	2004	9	11	1	0.62	22.1	22.1			
Max Temp (deg C)	2004	9	12	1	0.62	21.0	21.0			
Max Temp (deg C)	2004	9	13	1	0.62	16.5	16.5			
Max Temp (deg C)	2004	9	14	1	0.62	20.8	20.8			
Max Temp (deg C)	2004	9	15	1	0.62	23.4	23.4			
Max Temp (deg C)	2004	9	16	1	0.62	25.0	25.0			
Max Temp (deg C)	2004	9	17	1	0.62	19.8	19.8			
Max Temp (deg C)	2004	9	18	1	0.62	14.7	14.7			
Max Temp (deg C)	2004	9	19	1	0.62	16.4	16.4			
Max Temp (deg C)	2004	9	20	1	0.62	15.6	15.6			
Max Temp (deg C)	2004	9	21	1	0.62	15.4	15.4			
Max Temp (deg C)	2004	9	22	1	0.62	22.5	22.5			
Max Temp (deg C)	2004	9	23	1	0.62	19.4	19.4			
Max Temp (deg C)	2004	9	24	1	0.62	23.7	23.7			
Max Temp (deg C)	2004	9	25	1	0.62	22.1	22.1			
Max Temp (deg C)	2004	9	26	1	0.62	18.0	18.0			
Max Temp (deg C)	2004	9	27	1	0.62	23.3	23.3			
Max Temp (deg C)	2004	9	28	1	0.62	15.4	15.4			
Max Temp (deg C)	2004	9	29	1	0.62	16.7	16.7			
Max Temp (deg C)	2004	9	30	1	0.62	19.2	19.2			
Max Temp (deg C)	2004	10	1	1	0.62	19.9	19.9			
Max Temp (deg C)	2004	10	2	1	0.62	20.0	20.0			
Max Temp (deg C)	2004	10	3	1	0.62	14.0	14.0			
Max Temp (deg C)	2004	10	4	1	0.62	18.5	18.5			
Max Temp (deg C)	2004	10	5	1	0.62	7.2	7.2			
Max Temp (deg C)	2004	10	6	1	0.62	12.5	12.5			
Max Temp (deg C)	2004	10	7	1	0.62	19.2	19.2			
Max Temp (deg C)	2004	10	8	1	0.62	22.2	22.2			
Max Temp (deg C)	2004	10	9	1	0.62	21.4	21.4			
Max Temp (deg C)	2004	10	10	1	0.62	15.0	15.0			
Max Temp (deg C)	2004	10	11	1	0.62	10.0	10.0			
Max Temp (deg C)	2004	10	12	1	0.62	15.0	15.0			
Max Temp (deg C)	2004	10	13	1	0.62	17.4	17.4			
Max Temp (deg C)	2004	10	14	1	0.62	16.7	16.7			
Max Temp (deg C)	2004	10	15	1	0.62	11.3	11.3			
Max Temp (deg C)	2004	10	16	1	0.62	15.1	15.1			
Max Temp (deg C)	2004	10	17	1	0.62	10.8	10.8			
Max Temp (deg C)	2004	10	18	1	0.62	8.8	8.8			
Max Temp (deg C)	2004	10	19	1	0.62	9.3	9.3			
Max Temp (deg C)	2004	10	20	1	0.62	7.1	7.1			
Max Temp (deg C)	2004	10	21	1	0.62	7.7	7.7			
Max Temp (deg C)	2004	10	22	1	0.62	8.4	8.4			
Max Temp (deg C)	2004	10	23	1	0.62	10.2	10.2			
Max Temp (deg C)	2004	10	24	1	0.62	8.8	8.8			
Max Temp (deg C)	2004	10	25	1	0.62	8.9	8.9			
Max Temp (deg C)	2004	10	26	1	0.62	12.1	12.1			
Max Temp (deg C)	2004	10	27	1	0.62	12.1	12.1			
Max Temp (deg C)	2004	10	28	1	0.62	8.2	8.2			
Max Temp (deg C)	2004	10	29	1	0.62	8.7	8.7			
Max Temp (deg C)	2004	10	30	1	0.62	10.9	10.9			
Max Temp (deg C)	2004	10	31	1	0.62	13.8	13.8			
Max Temp (deg C)	2004	11	1	1	0.62	6.4	6.4			
Max Temp (deg C)	2004	11	2	1	0.62	4.4	4.4			
Max Temp (deg C)	2004	11	3	1	0.62	4.3	4.3			
Max Temp (deg C)	2004	11	4	1	0.62	6.1	6.1			
Max Temp (deg C)	2004	11	5	1	0.62	3.0	3.0			
Max Temp (deg C)	2004	11	6	1	0.62	4.3	4.3			
Max Temp (deg C)	2004	11	7	1	0.62	1.3	1.3			
Max Temp (deg C)	2004	11	8	1	0.62	0.0	0.0			
Max Temp (deg C)	2004	11	9	1	0.62	0.1	0.1			
Max Temp (deg C)	2004	11	10	1	0.62	-0.4	-0.4			
Max Temp (deg C)	2004	11	11	1	0.62	2.5	2.5			
Max Temp (deg C)	2004	11	12	1	0.62	-0.7	-0.7			
Max Temp (deg C)	2004	11	13	1	0.62	-0.3	-0.3			
Max Temp (deg C)	2004	11	14	1	0.62	0.0	0.0			
Max Temp (deg C)	2004	11	15	1	0.62	4.1	4.1			
Max Temp (deg C)	2004	11	16	1	0.62	1.8	1.8			
Max Temp (deg C)	2004	11	17	1	0.62	1.5	1.5			
Max Temp (deg C)	2004	11	18	1	0.62	3.4	3.4			
Max Temp (deg C)	2004	11	19	1	0.62	6.5	6.5			
Max Temp (deg C)	2004	11	20	1	0.62	4.5	4.5			
Max Temp (deg C)	2004	11	21	1	0.62	2.7	2.7			
Max Temp (deg C)	2004	11	22	1	0.62	5.3	5.3			
Max Temp (deg C)	2004	11	23	1	0.62	7.1	7.1			
Max Temp (deg C)	2004	11	24	1	0.62	7.1	7.1			
Max Temp (deg C)	2004	11	25	1	0.62	7.4	7.4			
Max Temp (deg C)	2004	11	26	1	0.62	-2.3	-2.3			
Max Temp (deg C)	2004	11	27	1	0.62	0.5	0.5			
Max Temp (deg C)	2004	11	28	1	0.62	5.9	5.9			
Max Temp (deg C)	2004	11	29	1	0.62	3.2	3.2			
Max Temp (deg C)	2004	11	30	1	0.62	3.8	3.8			
Max Temp (deg C)	2004	12	1	1	0.62	1.8	1.8			
Max Temp (deg C)	2004	12	2	1	0.62	0.0	0.0			
Max Temp (deg C)	2004	12	3	1	0.62	-8.5	-8.5			
