VARIABLE	YEAR	MONTH	DAY	NBR STA.	RMSE	SASKATOON INT'L A and RCS	OUTLOOK PFRA	SASKATOON WATER TP	SASKATOON SRC	VANSCOY COMINCO	BEAVER CREEK	SASKATOON CENTRAL AVE	SASKATOON 2	DUNDURN	GLENSIDE	SUTHERLAND	GRASSWOOD
Max Temp (deg C)	2011	8	29	1	2.2	29.6	30.2										
Max Temp (deg C)	2011	10	12	1	2.2	12.9	13.8										
Max Temp (deg C)	2012	4	11	1	2.2	13.1	14.0										
Max Temp (deg C)	2012	9	26	1	2.2	22.0	22.7										
Max Temp (deg C)	2013	6	24	1	2.2	23.3	24.0										
Max Temp (deg C)	2013	8	20	1	2.2	22.4	23.1										
Max Temp (deg C)	2013	8	21	1	2.2	22.4	23.1										
Max Temp (deg C)	2013	10	31	1	2.2	8.8	9.7										
Max Temp (deg C)	2014	6	3	1	2.2	23.8	24.5										
Max Temp (deg C)	2014	11	5	1	2.2	7.0	8.0										
Max Temp (deg C)	2014	12	23	1	2.2	-3.9	-2.8										
Min Temp (deg C)	1956	10	9	3	1.82	-6.5	-6.1							-6.7		-6.1	
Min Temp (deg C)	1983	6	30	4	1.38	14.2		15.5	14.0			15.0		14.0			
Min Temp (deg C)	1992	12	1	4	1.5	-7.2	-6.0	-6.0	-7.0	-8.0							
Min Temp (deg C)	1992	12	4	4	1.5	-23.1	-20.5	-20.5	-23.5	-26.0							
Min Temp (deg C)	1992	12	11	4	1.5	-17.2	-9.0	-15.0	-18.5	-13.0							
Min Temp (deg C)	1992	12	18	4	1.5	-24.3	-23.5	-23.5	-23.5	-25.0							
Min Temp (deg C)	1992	12	24	4	1.5	-28.0	-21.5	-23.0	-30.0	-24.0							
Min Temp (deg C)	1992	12	25	4	1.5	-25.2	-23.5	-23.5	-25.0	-26.5							
Min Temp (deg C)	1992	12	27	4	1.5	-30.0	-31.0	-31.0	-28.0	-31.0							
Min Temp (deg C)	1992	12	29	4	1.5	-35.3	-32.5	-32.5	-35.5	-33.5							
Min Temp (deg C)	1992	12	30	4	1.5	-39.0	-38.0	-37.0	-38.5	-41.5							
Min Temp (deg C)	1992	12	31	4	1.5	-40.9	-41.5	-39.0	-40.0	-44.0							
Min Temp (deg C)	2007	7	3	3	1.62	13.2	13.0	15.5	13.6								
Min Temp (deg C)	2007	8	18	3	1.62	11.5	11.6	13.0	12.1								
Min Temp (deg C)	2007	8	19	3	1.62	13.2	13.6	14.0	14.0								
Min Temp (deg C)	2007	8	20	3	1.62	13.0	10.9	16.0	13.5								
Min Temp (deg C)	2007	8	21	3	1.62	11.5	9.6	12.0	13.1								
Min Temp (deg C)	2007	11	7	3	1.62	-6.5	-3.7	-8.0	-4.9								
Min Temp (deg C)	2007	12	19	2	2.06	-18.5	-15.3	-17.0									
Min Temp (deg C)	2008	4	18	2	2.06	-0.4	-1.5	3.0									
Min Temp (deg C)	2008	4	19	2	2.06	-6.8	-4.8	-5.0									
Min Temp (deg C)	2008	4	20	2	2.06	-5.3	-7.5	-1.0									
Min Temp (deg C)	2008	4	21	2	2.06	-11.4	-10.2	-9.0									
Min Temp (deg C)	2008	9	11	1	2.51	2.6	3.7										
Min Temp (deg C)	2008	11	30	1	2.51	-9.8	-8.3										
Min Temp (deg C)	2008	12	1	2	2.06	-8.9	-8.7	-6.0									
Min Temp (deg C)	2011	8	27	1	2.51	8.1	9.0										
Min Temp (deg C)	2011	8	28	1	2.51	9.3	10.1										
Min Temp (deg C)	2011	8	29	1	2.51	10.1	10.9										
