VARIABLE	YEAR	MONTH	DAY	NBR STA.	RMSE	SASKATOON DIEFENBAKER & RCS	OUTLOOK PFRA	SASKATOON WATER TP	SASKATOON SRC	VANSCOY COMINCO	STRONGFIELD	BEAVER CREEK	CUTBANK	SASKATOON CENTRAL AVE	GLENSIDE	MARTENSVILLE	SASKATOON 2	GRASSWOOD
Total Precip (mm)	2014	12	8	nan	nan	nan												
Total Precip (mm)	2014	12	9	nan	nan	nan												
Total Precip (mm)	2014	12	10	nan	nan	nan												
Total Precip (mm)	2014	12	11	nan	nan	nan												
Total Precip (mm)	2014	12	12	nan	nan	nan												
Total Precip (mm)	2014	12	13	nan	nan	nan												
Total Precip (mm)	2014	12	14	nan	nan	nan												
Total Precip (mm)	2014	12	15	nan	nan	nan												
Total Precip (mm)	2014	12	16	nan	nan	nan												
Total Precip (mm)	2014	12	17	nan	nan	nan												
Total Precip (mm)	2014	12	18	nan	nan	nan												
Total Precip (mm)	2014	12	19	nan	nan	nan												
Total Precip (mm)	2014	12	20	nan	nan	nan												
Total Precip (mm)	2014	12	21	nan	nan	nan												
Total Precip (mm)	2014	12	22	nan	nan	nan												
Total Precip (mm)	2014	12	23	nan	nan	nan												
Total Precip (mm)	2014	12	24	nan	nan	nan												
Total Precip (mm)	2014	12	25	nan	nan	nan												
Total Precip (mm)	2014	12	26	nan	nan	nan												
Total Precip (mm)	2014	12	27	nan	nan	nan												
Total Precip (mm)	2014	12	28	nan	nan	nan												
Total Precip (mm)	2014	12	29	nan	nan	nan												
Total Precip (mm)	2014	12	30	nan	nan	nan												
Total Precip (mm)	2014	12	31	nan	nan	nan												
